,tau_n6,n6,n6_bckg,tau_n9,n9,n9_bckg,tau_b1,b1,b1_bckg
0,-50.0,0.0,1062.0422641978732,-50.0,0.0,1320.534341810633,-50.0,0.0,2237.5514658474426
1,-49.9,0.0,1062.0422641978666,-49.9,0.0,1319.7352562402612,-49.9,0.0,2237.5514658474317
2,-49.8,0.0,1062.0422641978746,-49.8,0.0,1318.939777269987,-49.8,0.0,2237.551465847447
3,-49.7,0.0,1062.0422641978635,-49.7,0.0,1318.1478983510272,-49.7,0.0,2237.551465847445
4,-49.6,0.0,1062.0422641978657,-49.6,0.0,1317.3596129345458,-49.6,0.0,2237.551465847438
5,-49.5,0.0,1062.0422641978653,-49.5,0.0,1316.5749144716426,-49.5,0.0,2237.551465847443
6,-49.4,0.0,1062.042264197878,-49.4,0.0,1315.7937964135226,-49.4,0.0,2237.5514658474463
7,-49.3,0.0,1062.04226419786,-49.3,0.0,1315.016252211305,-49.3,0.0,2237.551465847437
8,-49.2,0.0,1062.042264197877,-49.2,0.0,1314.2422753161834,-49.2,0.0,2237.551465847441
9,-49.1,0.0,1062.0422641978591,-49.1,0.0,1313.4718591792814,-49.1,0.0,2237.551465847438
10,-49.0,0.0,1062.042264197868,-49.0,0.0,1312.704997251752,-49.0,0.0,2237.5514658474435
11,-48.9,0.0,1062.0422641978703,-48.9,0.0,1311.9416829847708,-48.9,0.0,2237.5514658474463
12,-48.8,0.0,1062.0422641978666,-48.8,0.0,1311.18190982951,-48.8,0.0,2237.551465847434
13,-48.7,0.0,1062.0422641978746,-48.7,0.0,1310.425671237082,-48.7,0.0,2237.5514658474267
14,-48.6,0.0,1062.0422641978612,-48.6,0.0,1309.6729606586389,-48.6,0.0,2237.551465847453
15,-48.5,0.0,1062.0422641978755,-48.5,0.0,1308.9237715454062,-48.5,0.0,2237.5514658474585
16,-48.4,0.0,1062.04226419787,-48.4,0.0,1308.178097348439,-48.4,0.0,2237.5514658474467
17,-48.3,0.0,1062.0422641978626,-48.3,0.0,1307.4359315189754,-48.3,0.0,2237.5514658474226
18,-48.2,0.0,1062.0422641978694,-48.2,0.0,1306.6972675081445,-48.2,0.0,2237.551465847439
19,-48.1,0.0,1062.0422641978669,-48.1,0.0,1305.9620987670737,-48.1,0.0,2237.551465847448
20,-48.0,0.0,1062.0422641978664,-48.0,0.0,1305.230418746958,-48.0,0.0,2237.551465847447
21,-47.9,0.0,1062.042264197872,-47.9,0.0,1304.5022208989385,-47.9,0.0,2237.551465847444
22,-47.8,0.0,1062.0422641978653,-47.8,0.0,1303.7774986741488,-47.8,0.0,2237.5514658474267
23,-47.7,0.0,1062.042264197869,-47.7,0.0,1303.0562455237894,-47.7,0.0,2237.5514658474326
24,-47.6,0.0,1062.0422641978664,-47.6,0.0,1302.3384548989588,-47.6,0.0,2237.55146584745
25,-47.5,0.0,1062.0422641978698,-47.5,0.0,1301.6241202508832,-47.5,0.0,2237.551465847447
26,-47.4,0.0,1062.0422641978669,-47.4,0.0,1300.9132350306388,-47.4,0.0,2237.551465847453
27,-47.3,0.0,1062.0422641978712,-47.3,0.0,1300.2057926894383,-47.3,0.0,2237.551465847425
28,-47.2,0.0,1062.0422641978653,-47.2,0.0,1299.501786678431,-47.2,0.0,2237.5514658474553
29,-47.1,0.0,1062.0422641978705,-47.1,0.0,1298.8012104487298,-47.1,0.0,2237.5514658474294
30,-47.0,0.0,1062.0422641978726,-47.0,0.0,1298.104057451558,-47.0,0.0,2237.551465847447
31,-46.9,0.0,1062.0422641978626,-46.9,0.0,1297.4103211379872,-46.9,0.0,2237.551465847447
32,-46.8,0.0,1062.042264197872,-46.8,0.0,1296.7199949592539,-46.8,0.0,2237.551465847439
33,-46.7,0.0,1062.0422641978644,-46.7,0.0,1296.0330723664802,-46.7,0.0,2237.5514658474476
34,-46.6,0.0,1062.0422641978698,-46.6,0.0,1295.349546810791,-46.6,0.0,2237.5514658474267
35,-46.5,0.0,1062.042264197866,-46.5,0.0,1294.669411743402,-46.5,0.0,2237.551465847444
36,-46.4,0.0,1062.0422641978723,-46.4,0.0,1293.992660615405,-46.4,0.0,2237.5514658474485
37,-46.3,0.0,1062.042264197867,-46.3,0.0,1293.3192868780116,-46.3,0.0,2237.551465847443
38,-46.2,0.0,1062.0422641978637,-46.2,0.0,1292.6492839823368,-46.2,0.0,2237.551465847443
39,-46.1,0.0,1062.0422641978664,-46.1,0.0,1291.9826453795686,-46.1,0.0,2237.5514658474367
40,-46.0,0.0,1062.0422641978691,-46.0,0.0,1291.3193645208232,-46.0,0.0,2237.5514658474503
41,-45.9,0.0,1062.0422641978766,-45.9,0.0,1290.6594348572971,-45.9,0.0,2237.551465847431
42,-45.8,0.0,1062.042264197869,-45.8,0.0,1290.0028498401102,-45.8,0.0,2237.5514658474335
43,-45.7,0.0,1062.0422641978644,-45.7,0.0,1289.3496029204366,-45.7,0.0,2237.5514658474585
44,-45.6,0.0,1062.0422641978655,-45.6,0.0,1288.6996875494415,-45.6,0.0,2237.551465847438
45,-45.5,0.0,1062.0422641978691,-45.5,0.0,1288.0530971782625,-45.5,0.0,2237.5514658474476
46,-45.4,0.0,1062.0422641978632,-45.4,0.0,1287.4098252580452,-45.4,0.0,2237.5514658474276
47,-45.3,0.0,1062.0422641978714,-45.3,0.0,1286.769865239993,-45.3,0.0,2237.551465847437
48,-45.2,0.0,1062.0422641978664,-45.2,0.0,1286.1332105751846,-45.2,0.0,2237.5514658474463
49,-45.1,0.0,1062.0422641978703,-45.1,0.0,1285.499854714853,-45.1,0.0,2237.5514658474567
50,-45.0,0.0,1062.0422641978705,-45.0,0.0,1284.86979111011,-45.0,0.0,2237.5514658474294
51,-44.9,0.0,1062.0422641978619,-44.9,0.0,1284.2430132121165,-44.9,0.0,2237.55146584745
52,-44.8,0.0,1062.0422641978735,-44.8,0.0,1283.6195144720145,-44.8,0.0,2237.551465847443
53,-44.7,0.0,1062.0422641978687,-44.7,0.0,1282.9992883410127,-44.7,0.0,2237.551465847441
54,-44.6,0.0,1062.04226419787,-44.6,0.0,1282.3823282702026,-44.6,0.0,2237.5514658474426
55,-44.5,0.0,1062.0422641978669,-44.5,0.0,1281.768627710778,-44.5,0.0,2237.5514658474435
56,-44.4,0.0,1062.0422641978703,-44.4,0.0,1281.1581801138802,-44.4,0.0,2237.551465847426
57,-44.3,0.0,1062.0422641978596,-44.3,0.0,1280.5509789306677,-44.3,0.0,2237.5514658474412
58,-44.2,0.0,1062.042264197869,-44.2,0.0,1279.9470176122932,-44.2,0.0,2237.551465847444
59,-44.1,0.0,1062.0422641978694,-44.1,0.0,1279.3462896099074,-44.1,0.0,2237.5514658474463
60,-44.0,0.0,1062.0422641978757,-44.0,0.0,1278.7487883746946,-44.0,0.0,2237.5514658474362
61,-43.9,0.0,1062.0422641978694,-43.9,0.0,1278.154507357777,-43.9,0.0,2237.5514658474394
62,-43.8,0.0,1062.0422641978585,-43.8,0.0,1277.5634400103,-43.8,0.0,2237.5514658474476
63,-43.7,0.0,1062.042264197869,-43.7,0.0,1276.9755797834666,-43.7,0.0,2237.55146584744
64,-43.6,0.0,1062.0422641978705,-43.6,0.0,1276.3909201283957,-43.6,0.0,2237.5514658474385
65,-43.5,0.0,1062.042264197868,-43.5,0.0,1275.8094544962578,-43.5,0.0,2237.5514658474344
66,-43.4,0.0,1062.042264197869,-43.4,0.0,1275.2311763381883,-43.4,0.0,2237.5514658474535
67,-43.3,0.0,1062.042264197861,-43.3,0.0,1274.6560791053703,-43.3,0.0,2237.5514658474362
68,-43.2,0.0,1062.04226419788,-43.2,0.0,1274.084156248932,-43.2,0.0,2237.551465847436
69,-43.1,0.0,1062.0422641978555,-43.1,0.0,1273.5154012200653,-43.1,0.0,2237.5514658474426
70,-43.0,0.0,1062.0422641978762,-43.0,0.0,1272.9498074698818,-43.0,0.0,2237.551465847448
71,-42.9,0.0,1062.042264197868,-42.9,0.0,1272.3873684495652,-42.9,0.0,2237.551465847453
72,-42.8,0.0,1062.0422641978703,-42.8,0.0,1271.8280776102672,-42.8,0.0,2237.5514658474267
73,-42.7,0.0,1062.0422641978635,-42.7,0.0,1271.271928403118,-42.7,0.0,2237.551465847457
74,-42.6,0.0,1062.0422641978664,-42.6,0.0,1270.7189142793209,-42.6,0.0,2237.5514658474385
75,-42.5,0.0,1062.0422641978735,-42.5,0.0,1270.169028689983,-42.5,0.0,2237.5514658474394
76,-42.4,0.0,1062.042264197868,-42.4,0.0,1269.6222650863033,-42.4,0.0,2237.551465847441
77,-42.3,0.0,1062.0422641978635,-42.3,0.0,1269.0786169193975,-42.3,0.0,2237.5514658474362
78,-42.2,0.0,1062.042264197867,-42.2,0.0,1268.538077640442,-42.2,0.0,2237.5514658474426
79,-42.1,0.0,1062.0422641978732,-42.1,0.0,1268.0006407005867,-42.1,0.0,2237.551465847432
80,-42.0,0.0,1062.0422641978669,-42.0,0.0,1267.4662995509898,-42.0,0.0,2237.551465847447
81,-41.9,0.0,1062.0422641978648,-41.9,0.0,1266.935047642806,-41.9,0.0,2237.5514658474503
82,-41.8,0.0,1062.042264197869,-41.8,0.0,1266.4068784271847,-41.8,0.0,2237.5514658474303
83,-41.7,0.0,1062.0422641978691,-41.7,0.0,1265.8817853553032,-41.7,0.0,2237.5514658474603
84,-41.6,0.0,1062.042264197867,-41.6,0.0,1265.3597618782685,-41.6,0.0,2237.5514658474326
85,-41.5,0.0,1062.0422641978694,-41.5,0.0,1264.84080144731,-41.5,0.0,2237.551465847435
86,-41.4,0.0,1062.0422641978648,-41.4,0.0,1264.3248975134934,-41.4,0.0,2237.5514658474494
87,-41.3,0.0,1062.0422641978687,-41.3,0.0,1263.8120435280505,-41.3,0.0,2237.5514658474312
88,-41.2,0.0,1062.0422641978703,-41.2,0.0,1263.302232942098,-41.2,0.0,2237.5514658474563
89,-41.1,0.0,1062.0422641978694,-41.1,0.0,1262.7954592068056,-41.1,0.0,2237.5514658474453
90,-41.0,0.0,1062.0422641978678,-41.0,0.0,1262.291715773323,-41.0,0.0,2237.551465847427
91,-40.9,0.0,1062.0422641978678,-40.9,0.0,1261.7909960927989,-40.9,0.0,2237.551465847439
92,-40.8,0.0,1062.0422641978669,-40.8,0.0,1261.2932936164016,-40.8,0.0,2237.551465847448
93,-40.7,0.0,1062.0422641978669,-40.7,0.0,1260.7986017952765,-40.7,0.0,2237.551465847452
94,-40.6,0.0,1062.0422641978664,-40.6,0.0,1260.306914080583,-40.6,0.0,2237.5514658474403
