,tau_n0,n0,n0_bckg,tau_n1,n1,n1_bckg,tau_n3,n3,n3_bckg,tau_b0,b0,b0_bckg
0,-30.0,861.7579862920235,1075.9545924588583,-30.0,1113.0051138072638,1060.2016852947802,-30.0,1314.179089504606,1233.879557697732,-30.0,1374.9774182540602,1403.27687869167
1,-29.9,972.8211814261219,1076.9424162165471,-29.9,922.139363322896,1059.8482344210431,-29.9,1354.632844327581,1234.2364770433562,-29.9,1364.9136892813935,1403.3211698793436
2,-29.8,962.3867190632632,1076.5487622592048,-29.8,1223.4746680572653,1060.4513140217255,-29.8,1153.0209147967512,1233.3062181710957,-29.8,1434.6770471737661,1402.9149135629189
3,-29.7,1042.502004811533,1076.5222127587149,-29.7,1123.0547088079416,1060.3740956026486,-29.7,1354.7415955845265,1234.4551163744309,-29.7,1384.708007224544,1403.1844353016972
4,-29.6,932.330827067656,1076.6899223732964,-29.6,1223.4746680572653,1060.5520917759536,-29.6,1243.8809084342975,1234.0443092997525,-29.6,1234.5183371138191,1403.6230659198657
5,-29.5,1173.779570216079,1077.527474153425,-29.5,992.282249173084,1060.0284350085474,-29.5,1214.0062205277243,1234.326937536247,-29.5,1435.368277357296,1403.8082456141747
6,-29.4,902.2013713460716,1076.744730949449,-29.4,1093.1701935613123,1060.716693792729,-29.4,1375.198249382647,1234.9814561341757,-29.4,1354.8503643041897,1403.655285976322
7,-29.3,1032.3744612608853,1076.6534147792067,-29.3,1002.3253949161913,1060.1504101048922,-29.3,1173.402868318106,1233.9512524497188,-29.3,1344.5715432470206,1403.4742096422651
8,-29.2,1183.5506519558508,1077.4691575170473,-29.2,1123.5053366503332,1061.0515878803403,-29.2,1284.1091492776702,1234.3823850373603,-29.2,1344.787443298122,1403.7720230083353
9,-29.1,1224.3587170326186,1078.134547151643,-29.1,1052.4627628650894,1060.2723900916722,-29.1,1324.3438478208334,1234.5412242082687,-29.1,1526.104417670661,1404.4646504853329
10,-29.0,1032.705688904916,1077.1782332541795,-29.0,1113.0051138072638,1060.7055033305717,-29.0,1153.1134061967148,1233.8829806281838,-29.0,1485.5858026178219,1404.1987765601978
11,-28.9,972.0412867020606,1076.676685441772,-28.9,1062.6779484300287,1060.5644667003644,-28.9,1415.3500230872498,1235.280424171482,-28.9,1626.7020122906142,1404.7788754039564
12,-28.8,1142.788403705024,1077.103434902787,-28.8,1103.044402551025,1060.8700914694427,-28.8,1374.425650594896,1234.6461924955747,-28.8,1586.2816754346989,1404.6257014921468
13,-28.7,1062.9336970037152,1077.5088651086085,-28.7,1103.3099297893523,1061.1758633798472,-28.7,1163.4437936291258,1234.3839759120722,-28.7,1173.9680118801382,1403.880697749589
14,-28.6,992.680236638911,1077.503839125827,-28.6,1002.7274185785193,1060.928306556234,-28.6,1304.2256912395978,1234.790488112469,-28.6,1214.0062205277243,1403.840451758948
15,-28.5,962.3095429029535,1077.239591900034,-28.5,1103.5755848950444,1061.5321916360215,-28.5,1203.5625451335784,1234.5034647743448,-28.5,1567.0202507232177,1405.5769603273768
16,-28.4,1053.3073851894799,1078.0990861291912,-28.4,962.3095429029535,1060.6887260503422,-28.4,1364.5850056188601,1235.058699336007,-28.4,1334.6177775101662,1404.21074198933
17,-28.3,1092.9071329736946,1077.6400155594304,-28.3,1143.797407392527,1061.7182233821645,-28.3,1294.0633589470754,1234.8458857751987,-28.3,1415.691078134079,1405.0727626046842
18,-28.2,881.7635270540957,1076.9871054482105,-28.2,892.0874847142186,1060.7256627039712,-28.2,1254.038002367606,1235.0047525848022,-28.2,1314.179089504606,1403.9611638770846
19,-28.1,1073.068977274991,1077.975780087653,-28.1,1083.3801460556783,1061.6060212121433,-28.1,1303.807116780982,1234.6929081609464,-28.1,1395.218115752896,1404.8228019321355
20,-28.0,1314.6011038635036,1078.7279553194944,-28.0,1053.0538561829155,1061.4221805221762,-28.0,1143.1551080983352,1234.5545429954068,-28.0,1354.8503643041897,1404.669679382064
21,-27.9,1284.6246487354292,1078.8960714523905,-27.9,1082.7718960538825,1061.1107454798005,-27.9,1434.907383250697,1235.4319172011867,-27.9,1445.4348349795025,1404.99594395609
22,-27.8,1163.630527244988,1078.436405298977,-27.8,902.6356962329875,1061.5442569744444,-27.8,1344.2478231210434,1235.169443072096,-27.8,1415.5773748569163,1405.3223264499816
23,-27.7,902.2013713460716,1077.7610588172433,-27.7,892.0159560606845,1060.8924103642175,-27.7,1424.8444712020669,1235.5266658836101,-27.7,1183.3607445144041,1403.8444720613809
24,-27.6,1173.4970211229297,1078.4046056779398,-27.6,1214.103670405955,1062.1350557780322,-27.6,992.680236638911,1234.719184605677,-27.6,1244.1804462995487,1404.6493729307135
25,-27.5,1092.8194742435328,1078.0319204269874,-27.5,1143.0634099386193,1061.4399441124312,-27.5,1173.4970211229297,1235.1256849359636,-27.5,1526.104417670661,1405.6244460990297
26,-27.4,1143.246820971543,1078.3728149861356,-27.4,962.695547533079,1061.6180614068583,-27.4,1183.3607445144041,1235.0120120968459,-27.4,1465.2161695636257,1405.076216923833
27,-27.3,1072.6386911802883,1078.021807958429,-27.3,1123.0547088079416,1061.583283137762,-27.3,1163.4437936291258,1235.2203979480325,-27.3,1253.7361336783438,1404.3312499935207
28,-27.2,1013.1000862639534,1078.7304275384156,-27.2,982.2395060738345,1061.165479673994,-27.2,1152.9284382330957,1234.7600035667872,-27.2,1434.907383250697,1405.0237212722384
29,-27.1,1183.4556906165835,1078.6387757746786,-27.1,1102.7790030877654,1061.4711755153382,-27.1,1062.8484338025758,1234.993062151931,-27.1,1455.268070414881,1405.3782065300818
30,-27.0,1163.630527244988,1078.9150034795575,-27.0,1133.3774648452227,1062.0113076224764,-27.0,1294.4788969835447,1236.01947571896,-27.0,1305.1684671298153,1405.930419159266
31,-26.9,1344.8954193263287,1079.5379449074414,-26.9,1072.6386911802883,1061.5080695495533,-26.9,1203.3694344163487,1235.261147132583,-26.9,1334.2964345191326,1404.9591002792383
32,-26.8,1032.3744612608853,1078.147804858445,-26.8,1012.450129312923,1061.5158738859834,-26.8,1173.402868318106,1235.4447733509478,-26.8,1384.4857337774192,1405.0597227550286
33,-26.7,982.6334576665324,1078.6184003394594,-26.7,1083.2932113625266,1062.226419559343,-26.7,1042.7528675703709,1235.182432718239,-26.7,1375.41915145672,1406.1196379035985
34,-26.6,1133.6503541403158,1079.2625666103174,-26.6,1153.4835202310815,1062.2555086527263,-26.6,1173.3087306203327,1235.4651303510698,-26.6,1335.2609280565239,1406.1921207629985
35,-26.5,1142.9717264888548,1078.6514730951553,-26.5,1062.5927262520397,1061.688262148942,-26.5,1173.6853720682777,1235.921479717423,-26.5,1455.852527159159,1406.3775588708272
36,-26.4,1093.082492629199,1078.9492542814733,-26.4,1113.1837053974207,1062.185840064599,-26.4,1103.1328974286819,1235.6093845107382,-26.4,1466.0400851508005,1406.5912744116904
37,-26.3,1083.3801460556783,1079.3337768875658,-26.3,1133.1047068968812,1062.1084113819034,-26.3,1314.7066498062877,1236.5868021982285,-26.3,1698.0487510800956,1407.5400555011388
38,-26.2,1082.685058946171,1078.7010722822158,-26.2,1093.2579085675156,1062.4144752436553,-26.2,1314.179089504606,1236.150347137869,-26.2,1364.804110468831,1405.8892430505546
39,-26.1,1133.3774648452227,1079.3018512589886,-26.1,871.8657927965724,1061.5704867217257,-26.1,1424.9588568217193,1236.5822628964938,-26.1,1345.6517372966268,1406.9217816750026
