,tau_n0,n0,n0_bckg,tau_n1,n1,n1_bckg,tau_n2,n2,n2_bckg,tau_n3,n3,n3_bckg,tau_n4,n4,n4_bckg,tau_n5,n5,n5_bckg,tau_n6,n6,n6_bckg,tau_n7,n7,n7_bckg,tau_n8,n8,n8_bckg,tau_n9,n9,n9_bckg,tau_na,na,na_bckg,tau_nb,nb,nb_bckg,tau_b0,b0,b0_bckg,tau_b1,b1,b1_bckg
0,-30.0,1102.9559218705976,1035.7580195010908,-30.0,1183.3607445144041,1116.48282040362,-30.0,1314.0736282475489,1164.6214448847209,-30.0,1143.522047907539,1135.7805078475085,-30.0,962.0780886715168,962.0751692217543,-30.0,972.4310776942217,1204.9238386318038,-30.0,901.8397530963036,1022.4743991987881,-30.0,1032.6228620696422,1019.8959884063254,-30.0,771.5585482674893,788.9866276593502,-30.0,1243.3819990373638,1108.500272222409,-30.0,1253.2333420224,1107.1054276213144,-30.0,982.7911268000984,864.1640943450581,-30.0,1254.138657569963,1457.2402399813448,-30.0,1918.7109477025422,1807.2670733942623
1,-29.9,902.0566892514806,1035.3427695233333,-29.9,931.8824024529416,1115.5654514055095,-29.9,1323.9187996469361,1164.4579138305032,-29.9,1113.2730226866831,1135.621029710685,-29.9,791.4404215672412,961.7474672466226,-29.9,1283.388144701995,1205.0929744878663,-29.9,881.6221848200564,1022.2695273547565,-29.9,1122.6944667201124,1019.7528594584684,-29.9,771.6204028459656,789.0498794182581,-29.9,1162.883952201443,1108.2335707373916,-29.9,1032.540048519343,1106.9722473465222,-29.9,972.8992397343948,864.2854389251119,-29.9,1606.2966829973268,1458.1472845448352,-29.9,1656.5267152580934,1806.178423871103
2,-29.8,1082.9456120648008,1035.7995628196986,-29.8,1173.3087306203327,1116.4604275995007,-29.8,922.0654265554712,1163.6176218785802,-29.8,1274.0514837182059,1135.894448228709,-29.8,941.997033711455,962.036604457685,-29.8,1012.1254634732795,1204.440854830367,-29.8,1062.4223228961882,1022.7203538311646,-29.8,1052.7160072988158,1019.9368897713751,-29.8,751.2470701364158,788.7021201909939,-29.8,1172.8382686100197,1108.1669154172732,-29.8,1323.7063778579836,1107.349674707231,-29.8,811.7696578541104,863.5924999670414,-29.8,1384.8191707140652,1457.5034592275185,-29.8,1888.7638643304667,1807.4486425826365
3,-29.7,1496.1341500150404,1037.2348508975087,-29.7,1153.0209147967512,1116.2365489519275,-29.7,881.7635270540957,1163.3377939935551,-29.7,1032.540048519343,1135.074587368264,-29.7,871.7958995530669,961.9787631082365,-29.7,1153.0209147967512,1205.0688093156318,-29.7,1122.784505573807,1022.9254064323768,-29.7,821.4786615908519,1019.1399044237312,-29.7,801.5389547931915,788.9075772197416,-29.7,1273.2340143965491,1108.3002340765186,-29.7,941.8460181956501,1106.4176742596087,-29.7,861.8270733955865,863.5405743347069,-29.7,1404.7198587252972,1457.3279691658213,-29.7,1857.9147166930861,1806.7588736829475
4,-29.6,1002.4057738572432,1035.467309551748,-29.6,1032.6228620696422,1116.147022631159,-29.6,1092.8194742435328,1164.0142752356828,-29.6,1153.2059124365574,1135.4388238135366,-29.6,861.8961715774582,962.113737077806,-29.6,1183.265813645645,1205.2379858762358,-29.6,1052.5471641371971,1022.8638820189105,-29.6,1002.3253949161913,1019.6710895234687,-29.6,711.2945560920775,788.8285426190447,-29.6,1202.983398829079,1108.2335707373893,-29.6,951.9610397418546,1106.5285444195556,-29.6,801.5389547931915,863.367533982368,-29.6,1535.8053442010582,1457.9423693455315,-29.6,1676.403862755703,1805.9608513331477
5,-29.5,1102.9559218705976,1035.7580195010892,-29.5,1173.6853720682777,1116.8188202893805,-29.5,1384.4857337774192,1164.7850218764488,-29.5,1022.6589131742385,1135.233912054687,-29.5,961.9238476953772,961.9209287136594,-29.5,1182.791387674896,1204.7547502458012,-29.5,1022.4128944308422,1022.8023650058398,-29.5,1022.7409457345541,1020.0391575379704,-29.5,781.5318023325607,788.9391954946456,-29.5,1082.424631173814,1107.9669975564886,-29.5,1163.35044929395,1107.438518551479,-29.5,932.330827067656,863.8695421725421,-29.5,1444.7387430772728,1457.2109992670157,-29.5,1908.7803897930207,1807.3760105294864
6,-29.4,992.5210033484911,1035.612644124904,-29.4,1182.9811124032394,1116.1246432947771,-29.4,1193.3174224343506,1164.2477270868683,-29.4,1053.0538561829155,1135.575472754322,-29.4,871.7958995530669,961.9787631082377,-29.4,1002.2450288646426,1204.6098551106734,-29.4,1142.6051397185422,1022.7203538311612,-29.4,962.3867190632632,1019.8346425091905,-29.4,901.7674642298778,788.9391954946476,-29.4,1022.2489476848922,1107.922581160512,-29.4,1032.3744612608853,1106.7947234820663,-29.4,821.9397778757751,863.7483143389575,-29.4,1355.1767752815563,1458.0009106681646,-29.4,1717.5227496434136,1806.9766385579383
7,-29.3,932.1065608274569,1035.3220157644562,-29.3,972.275123789654,1115.9232696446397,-29.3,1293.5443114132538,1164.2010292256527,-29.3,1062.7631842791106,1135.2339120546794,-29.3,932.0318293880526,962.0944527632593,-29.3,1172.7442214782425,1204.7305986360348,-29.3,1062.5075177418557,1022.8023650058386,-29.3,1062.5927262520397,1019.7937493441705,-29.3,781.5944526834631,789.00243964836,-29.3,921.6959204936953,1107.5229937905383,-29.3,1012.7750035096019,1107.2830511782813,-29.3,892.3021395199487,863.938830499807,-29.3,1384.9303520532899,1457.6204760842732,-29.3,1617.1477932461248,1807.0492385152947
8,-29.2,1032.6228620696422,1035.6126441248987,-29.2,1182.886242431516,1116.0351349228847,-29.2,1152.835976502179,1163.8742490582526,-29.2,1173.402868318106,1135.57547275433,-29.2,821.5445036668821,961.805280784104,-29.2,1132.6504019405247,1204.730598636025,-29.2,1092.7318295739192,1022.9459162149636,-29.2,1143.3385485617841,1020.2846838726782,-29.2,791.4404215672412,788.8285426190479,-29.2,1022.2489476848922,1107.9225811605122,-29.2,1122.9646266142456,1107.1720297766592,-29.2,851.9936651765009,863.7309988544357,-29.2,1434.7922059679124,1457.298724930676,-29.2,1989.3099706626729,1807.5212804736775
9,-29.1,1072.5526753673591,1035.4465507997284,-29.1,1143.3385485617841,1116.5724006034388,-29.1,1313.7573460095687,1164.3411340489513,-29.1,1234.1219673710016,1136.076800396661,-29.1,921.8436873747364,961.9209287136626,-29.1,1132.6504019405247,1204.7305986360361,-29.1,1012.1254634732795,1022.5358767656318,-29.1,871.8657927965724,1019.4871551076964,-29.1,801.4747134727786,788.8443482722952,-29.1,1122.6944667201124,1108.14469875899,-29.1,1032.3744612608853,1106.794723482059,-29.1,771.6204028459656,863.5232671781878,-29.1,1485.7051076132136,1458.0301830924911,-29.1,1767.0682730923443,1806.2872298002494
10,-29.0,1092.9948057677882,1035.8203357287296,-29.0,1193.4131616422799,1116.505214106014,-29.0,1173.1205005313968,1164.1076447405806,-29.0,1254.2393289317715,1136.12239758718,-29.0,962.4639076034512,962.4609869829131,-29.0,1293.8556899560508,1205.50393074885,-29.0,961.9238476953772,1022.4334182609498,-29.0,1193.1259900940295,1019.9777944171411,-29.0,801.796023091714,789.1605944029418,-29.0,1303.597930287575,1108.5447349504225,-29.0,1253.7361336783438,1107.549593406407,-29.0,771.4967036049827,863.3848348968165,-29.0,1536.1754252093197,1458.2936878144278,-29.0,1868.5955394815887,1807.3760105294903
11,-28.9,861.6889102641054,1035.0108091948478,-28.9,1313.7573460095687,1116.5052141060119,-28.9,1263.3858741426845,1164.1309894573212,-28.9,1173.402868318106,1135.5754727543274,-28.9,901.9843656043166,962.1137370778035,-28.9,1222.9840811580082,1204.8513663691638,-28.9,982.1607536580337,1022.6383558071997,-28.9,992.3618211342855,1019.7324157452465,-28.9,831.9134008218784,789.2080531938244,-28.9,1192.9346191631244,1108.211351406422,-28.9,1072.8968214178128,1107.238639945902,-28.9,771.6822673427963,863.5924999670463,-28.9,1374.2050675065504,1456.8894288416707,-28.9,1948.338890451103,1806.7951641837694
12,-28.8,942.1480976626575,1035.3427695233363,-28.8,1102.7790030877654,1116.1246432947764,-28.8,1233.3299909756167,1164.154335110365,-28.8,1303.9117352055982,1135.6893719993357,-28.8,1002.1646756994966,962.0751692217519,-28.8,1273.4382833650677,1205.1654758199368,-28.8,952.113692397108,1022.6588540804829,-28.8,1163.4437936291258,1020.3256164203727,-28.8,1002.2450288646426,789.1605944029424,-28.8,1223.3765191929551,1108.5447349504263,-28.8,1002.1646756994966,1106.6394368015472,-28.8,1042.9201764941688,864.129430723142,-28.8,1766.9263512970595,1458.1472845448284,-28.8,1928.0205655526718,1806.577443044112
13,-28.7,1123.1448054552588,1035.882659455301,-28.7,1133.195611624766,1116.460427599501,-28.7,1072.7247207907935,1163.967596099664,-28.7,1123.2349165596759,1135.5526956467997,-28.7,902.2737297990809,962.422391282266,-28.7,1203.1763856581204,1205.0929744878688,-28.7,962.0009620009483,1022.5153834219466,-28.7,901.6951869514559,1019.2215891834351,-28.7,691.0642389279392,788.6073299596094,-28.7,1223.1802686985989,1108.3669054360937,-28.7,1052.2096402444986,1106.5728987053365,-28.7,911.9515763734262,863.5578821849906,-28.7,1617.0178575015336,1458.7623759008245,-28.7,1686.6115171471931,1806.1421581409707
14,-28.6,1143.1551080983352,1035.8411094709686,-28.6,1173.402868318106,1116.5500042058725,-28.6,1132.9229411882495,1164.0142752356796,-28.6,1374.425650594896,1135.9400307824617,-28.6,751.307274657894,961.6703933406496,-28.6,1283.5940633774387,1205.2863307613536,-28.6,861.6889102641054,1022.3924406080146,-28.6,1002.4861656908992,1019.8346425091905,-28.6,881.904914615557,789.0973248932521,-28.6,1112.7373338412335,1108.2113514064245,-28.6,1042.418410712839,1106.8169108512282,-28.6,701.2622720897516,863.263743054615,-28.6,1515.4252222957973,1457.6497332343952,-28.6,1747.0581147837013,1806.359774369504
15,-28.5,1173.4970211229297,1036.0696756422408,-28.5,1303.9117352055982,1116.6619951792106,-28.5,1052.3783751277738,1163.640946945668,-28.5,1243.7810945273454,1135.734938095149,-28.5,932.330827067656,962.4030945927161,-28.5,1082.424631173814,1204.609855110669,-28.5,1032.3744612608853,1022.7408553918274,-28.5,1092.7318295739192,1019.8550903215735,-28.5,821.4786615908519,788.8127375991545,-28.5,1072.4666733486868,1108.0336288282647,-28.5,1233.2310653913078,1107.1498281678503,-28.5,881.9756254008855,863.6444318444483,-28.5,1606.5547433528568,1458.3815438884726,-28.5,1918.8651570254303,1807.412325826373
16,-28.4,992.282249173084,1035.3635241142902,-28.4,1032.540048519343,1116.0575106699184,-28.4,1333.8682178316928,1164.387843150703,-28.4,1093.4333808157457,1135.8488693330416,-28.4,921.6959204936953,961.7667376535129,-28.4,1233.2310653913078,1205.0688093156284,-28.4,1022.2489476848922,1022.6383558072007,-28.4,1012.6937654159922,1020.018702344003,-28.4,781.2813013341769,788.6863202366633,-28.4,1373.9845552100896,1108.7003825914783,-28.4,1193.2216985861658,1107.238639945908,-28.4,811.8998456387832,863.7309988544366,-28.4,1464.7457763152406,1457.1525213586226,-28.4,1908.1669545655132,1806.7951641837644
17,-28.3,1092.7318295739192,1035.571115798316,-28.3,1213.3245091550675,1116.370865364775,-28.3,1172.7442214782425,1163.7342565659371,-28.3,1183.4556906165835,1135.5982507756048,-28.3,972.1971655942292,962.1715946601687,-28.3,1042.2512627274764,1204.513277715089,-28.3,972.1971655942292,1022.6998530924152,-28.3,982.7122859090952,1020.1209865185614,-28.3,741.3344019234517,788.8127375991585,-28.3,1142.6967643638825,1108.1002681147133,-28.3,881.9756254008855,1106.7281667114878,-28.3,921.9175885842421,863.5059607154061,-28.3,1304.2256912395978,1457.152521358617,-28.3,1898.3908877237118,1807.049238515287
18,-28.2,1112.915839499473,1035.695710771048,-28.2,1052.4627628650894,1115.9232696446425,-28.2,992.2026899717231,1163.59429774657,-28.2,1304.121022430863,1135.8716583236373,-28.2,992.5210033484911,962.4416887456472,-28.2,1263.5885916001264,1205.3346795250748,-28.2,881.6221848200564,1022.2695273547567,-28.2,1263.9942217406826,1020.5303284336185,-28.2,741.3938203823081,788.87596147906,-28.2,1223.1802686985989,1108.3669054360967,-28.2,1052.294000921995,1106.6616179451694,-28.2,1063.3602182897805,864.441503468077,-28.2,1425.0732608084577,1457.6204760842704,-28.2,1848.1317798312311,1807.0129378074123
19,-28.1,1072.8968214178128,1035.7787907438335,-28.1,1303.7025151429877,1116.482820403619,-28.1,1193.6046861521625,1164.5279929442659,-28.1,1022.7409457345541,1135.3249748158446,-28.1,932.1813042519362,962.2487489287226,-28.1,1112.558885436488,1204.6822983213601,-28.1,931.8824024529416,1022.4539083192292,-28.1,901.9843656043166,1019.548459206023,-28.1,891.7299561148501,788.9233860403964,-28.1,1032.2916875463382,1107.9447889133492,-28.1,1263.6899747261825,1107.4829458198417,-28.1,781.9078551665954,863.817583220171,-28.1,1455.0344190900307,1457.474207948921,-28.1,1838.6416155932623,1807.5576016086113
20,-28.0,952.2663940177488,1035.4465507997309,-28.0,1072.9828924409705,1116.4156446858985,-28.0,1072.4666733486868,1163.687599885305,-28.0,1012.3689433273717,1134.9380589412658,-28.0,901.7674642298778,961.8823763138126,-28.0,1444.5068614075713,1205.673229511297,-28.0,992.282249173084,1022.7408553918281,-28.0,891.8014389065786,1019.3645690252011,-28.0,761.5230460921736,788.9708163040848,-28.0,1062.4223228961882,1108.0114175138915,-28.0,992.4414058583975,1106.9722473465306,-28.0,952.1900370852826,863.6963699680414,-28.0,1284.212216068687,1457.2109992670066,-28.0,1848.577399131946,1807.448642582645
21,-27.9,1122.8745588706931,1035.6334095372406,-27.9,1233.9238779318057,1116.8636355547358,-27.9,1002.0040080160179,1163.337793993556,-27.9,1224.3587170326186,1136.3276302470151,-27.9,962.0009620009483,961.998042785227,-27.9,921.8436873747364,1204.32016937397,-27.9,952.0373599502801,1022.5768659174912,-27.9,992.680236638911,1020.0596135523597,-27.9,952.5719442494601,789.5245910673584,-27.9,1132.5595846613185,1107.9892070899864,-27.9,1032.2916875463382,1106.7059829000875,-27.9,952.113692397108,863.627120524682,-27.9,1475.1630707475956,1457.5327116802903,-27.9,1888.6120710439334,1807.3033843135238
22,-27.8,1112.8265795119446,1035.6126441249032,-27.8,1032.4572482508222,1115.9680130647662,-27.8,1183.075997593727,1164.037616207714,-27.8,1264.1971344864771,1136.0540031738724,-27.8,1052.5471641371971,962.3259155719188,-27.8,1263.4872247402652,1205.2379858762426,-27.8,1012.2066104106808,1022.6178583556375,-27.8,992.7598724453841,1020.1414458151345,-27.8,711.2945560920775,788.8285426190481,-27.8,1092.9071329736946,1108.4335848175772,-27.8,1042.418410712839,1106.8169108512295,-27.8,791.5673032604444,863.419438805954,-27.8,1616.238681309833,1458.0594566922532,-27.8,1858.6613619466448,1807.4849607983692
23,-27.7,1092.8194742435328,1035.6541757823443,-27.7,1394.8820873055497,1117.22228719887,-27.7,1052.5471641371971,1163.8275811519552,-27.7,1244.1804462995487,1136.099598534419,-27.7,891.9444388767386,962.0944527632574,-27.7,1132.6504019405247,1204.7305986360302,-27.7,931.8824024529416,1022.4539083192298,-27.7,1103.1328974286819,1020.2028286290755,-27.7,801.6032064128143,788.970816304086,-27.7,1052.4627628650894,1108.0780541286217,-27.7,1132.7412337857454,1106.9278610417728,-27.7,781.4691620245951,863.3329342334728,-27.7,1525.2468491610925,1457.4449578443935,-27.7,1666.5997349503798,1806.214691057648
24,-27.6,1002.7274185785193,1035.7995628196938,-27.6,1183.075997593727,1116.214166025338,-27.6,971.9633659993048,1163.3611078434155,-27.6,1324.875541994521,1136.4644932183803,-27.6,891.9444388767386,962.0944527632587,-27.6,1162.883952201443,1204.8996802422243,-27.6,972.1192198993667,1022.6178583556402,-27.6,972.3530944886488,1019.7733039914291,-27.6,862.0344011867886,789.2555176932315,-27.6,1163.070506136183,1108.411357465676,-27.6,1142.6967643638825,1106.861288258345,-27.6,962.1552277100569,863.6444318444511,-27.6,1445.5509155155592,1458.030183092492,-27.6,1837.0174064927762,1805.9608513331511
25,-27.5,1012.450129312923,1035.4880691361366,-27.5,921.9915016435369,1115.7219686459468,-27.5,1092.556582402807,1163.7342565659358,-27.5,1042.83651532166,1135.3705116750934,-27.5,992.282249173084,962.2101702478022,-27.5,1173.0264081329663,1205.0204818784673,-27.5,1062.3371417117507,1022.6383558072038,-27.5,992.4414058583975,1019.8141955167405,-27.5,640.9229290177765,788.5283555034058,-27.5,1183.170898006641,1108.4558130609632,-27.5,1404.6071113251264,1107.8829516996268,-27.5,872.775425854204,864.4588474520107,-27.5,1314.4955748660232,1457.4157089138964,-27.5,1837.4600879570796,1806.3960488393311
26,-27.4,1012.6937654159922,1035.7372490914113,-27.4,1133.1047068968812,1116.3708653647748,-27.4,1032.540048519343,1163.8742490582565,-27.4,1113.1837053974207,1135.5299194529762,-27.4,1022.5768937722917,962.4223912822697,-27.4,1323.4940242239325,1205.0929744878695,-27.4,921.8436873747364,1022.4334182609452,-27.4,1012.3689433273717,1019.6915307777869,-27.4,891.8729331596226,789.0498794182544,-27.4,1213.0325814536168,1108.2557909593593,-27.4,1042.2512627274764,1106.639436801544,-27.4,932.330827067656,863.8695421725478,-27.4,1766.9263512970595,1458.1472845448302,-27.4,1857.9147166930861,1806.7588736829525
