,name,ra,dec,hardness,lle_t90,gbm_cat_t90,gbm-lle_t90_difference,time_in,time_out
2,GRB160325291,16.21,-72.66,2.892581017890239,0.203,42.945,42.742,-30.0,100.0
17,GRB150403913,311.75,-62.46,inf,4.107,22.272,18.165,-30.0,70.0
25,GRB141222298,178.0,-57.31,inf,1.293,2.752,1.4589999999999999,-20.0,50.0
27,GRB160829334,201.72,-56.78,inf,0.0,0.512,0.512,-30.0,70.0
29,GRB120316008,57.35,-56.41,2.372248146157556,0.398,26.624,26.226,-30.0,100.0
37,GRB120709883,318.8,-50.42,2.5427931239303923,0.46,27.328,26.868,-30.0,100.0
38,GRB101014175,26.5,-48.54,inf,1.666,449.415,447.749,-30.0,70.0
42,GRB141102536,209.07,-46.73,1.2109409372510316,0.0,2.624,2.624,-30.0,70.0
56,GRB150118409,240.23,-35.93,1.1279386166419691,1.473,40.193,38.72,-30.0,100.0
62,GRB090626189,170.19,-33.56,3.8257403729486805,0.889,48.897,48.007999999999996,-30.0,100.0
65,GRB180703949,96.92,-29.88,inf,0.0,1.536,1.536,-30.0,70.0
66,GRB120830297,88.59,-28.79,2.8524632541532196,0.0,0.896,0.896,-30.0,70.0
67,GRB090228204,98.6,-28.79,1.0268117112792372,0.0,0.448,0.448,-30.0,70.0
70,GRB160709826,236.11,-28.51,1.1528114640739995,3.205,5.44,2.2350000000000003,-30.0,70.0
73,GRB090510016,333.57,-26.62,2.085573018651048,5.396,0.96,-4.436,-30.0,70.0
74,GRB110921912,5.77,-26.59,2.9568794554322775,0.935,17.664,16.729000000000003,-30.0,100.0
85,GRB131014215,100.78,-20.76,1.2240583615203808,1.811,3.2,1.3890000000000002,-30.0,50.0
97,GRB110120666,61.62,-12.02,1.9467263056786088,0.231,26.173,25.941999999999997,-30.0,100.0
100,GRB140619475,132.66,-9.65,1.3395588207795122,1.124,2.816,1.6919999999999997,-30.0,100.0
110,GRB080825593,234.83,-3.84,2.644672398781019,1.203,20.992,19.789,-30.0,70.0
118,GRB190606080,76.54,-0.68,inf,0.101,0.224,0.123,-30.0,50.0
121,GRB140102887,212.02,1.47,1.3197730120126758,2.872,3.648,0.7760000000000002,-30.0,50.0
123,GRB101123952,135.16,1.91,inf,2.696,103.938,101.242,-10.0,100.0
128,GRB110728056,173.57,4.34,1.6810823910881574,0.0,0.704,0.704,-10.0,50.0
131,GRB140402007,207.66,5.97,9.669259875889209,1.546,0.32,-1.226,-30.0,70.0
136,GRB120624933,170.91,8.94,1.2975353427515375,3.361,271.364,268.003,-30.0,100.0
140,GRB171011810,168.48,10.03,3.556765773479777,0.0,0.48,0.48,-30.0,70.0
143,GRB150210935,112.28,13.57,1.4995078880552306,2.521,31.294,28.773,-30.0,100.0
151,GRB191202867,249.47,17.49,3.5973773252114274,1.985,30.721,28.736,-30.0,100.0
154,GRB220107793,216.47,19.9,1.0744127456299777,1.282,24.833,23.551,-30.0,100.0
155,GRB081024891,323.01,20.84,1.916035816174541,1.32,0.64,-0.68,-30.0,100.0
168,GRB190515190,137.75,28.93,1.4549895516117428,1.645,1.264,-0.381,-30.0,100.0
208,GRB120915000,240.95,57.04,7.932212923083333,0.0,0.576,0.576,-30.0,100.0
222,GRB130502327,66.65,70.83,4.182019488063864,1.563,24.32,22.757,-10.0,100.0
223,GRB170728961,237.43,70.85,4.884792997732893,0.41,46.336,45.926,-30.0,100.0
229,GRB160521385,148.04,79.02,inf,0.0,2.816,2.816,-30.0,100.0
