,Unnamed: 0,name        ,time                   ,ra        ,dec      ,error_radius,lle_bbbd_sig,lle_t90 ,tl100      ,tl100_error,like_best_ts,like_lat_t0,like_lat_t1,like_lat_flux,like_lat_flux_error,like_lat_flux_ene,like_lat_flux_ene_error,like_gbm_t0,like_gbm_t1,like_gbm_flux,like_gbm_flux_error,like_gbm_flux_ene,like_gbm_flux_ene_error,Unnamed: 23,flux_ratio,flux_ene_ratio,flux_ratio_error,flux_ene_ratio_error,GBM-LAT Time Difference
0,,GRB140323433,2014-03-23 10:22:53.003,23 46 04.8,-79 55 12,0.18,0.0,0.0,488.82001,147.83501,39.782,226.8,715.62,4.81799e-06,0.0,5.33761e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,-226.8
1,,GRB190731943,2019-07-31 22:38:23.004,22 41 14.4,-76 25 12,0.31,17.0,6.354,275.67999,22.225,177.926,0.06,275.73999,1.80898e-05,3.88838e-06,1.72243e-08,8.56787e-09,1.792,17.664,8.08939e-05,3.35793e-05,2.46499e-08,1.23905e-08,,4.471796260876294,1.4311118594079295,8.635807199913588,1.4461587302328351,1.732
2,,GRB160325291,2016-03-25 06:59:21.002,01 04 50.4,-72 39 36,0.24,6.5,0.203,1550.73999,458.35501,97.2241,4.98,1555.71997,4.769e-06,9.95543e-07,2.40535e-09,7.3455e-10,2.048,44.993,2.71042e-05,0.0,3.00274e-08,0.0,,5.683413713566785,12.483588666929968,0.0,0.0,-2.9320000000000004
3,,GRB201104001,2020-11-04 00:00:55.996,05 25 28.8,-71 07 48,0.24,8.0,7.229,76.29,0.935,411.988,0.26,76.55,0.000376102,5.87922e-05,1.73551e-07,4.11086e-08,0.0,52.48,0.000429624,6.82292e-05,2.06446e-07,5.22106e-08,,1.1423071400843388,1.1895408266158074,1.1605144900173832,1.2700651445196383,-0.26
4,,GRB171212434,2017-12-12 10:24:18.003,02 37 40.8,-70 37 48,0.43,0.0,0.0,380.35001,128.72501,25.5044,116.62,496.97,3.81207e-06,0.0,4.2232e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,-116.62
5,,GRB120107384,2012-01-07 09:12:14.996,16 20 02.4,-70 35 24,0.34,0.0,0.0,47.51,12.695,53.2877,1.28,48.79,3.71005e-05,1.69551e-05,5.01006e-08,4.57445e-08,0.064,23.104,7.81903e-05,2.97993e-05,4.35573e-08,3.0297e-08,,2.1075268527378337,0.8693967736913331,1.7575419785197375,0.6623091300593514,-1.216
6,,GRB130327350,2013-03-27 08:24:04.000,14 33 02.4,-69 45 36,0.21,0.0,0.0,515.16998,11.57,327.622,8.0,523.16998,1.60244e-05,2.48234e-06,3.38163e-08,1.41296e-08,2.048,33.28,6.6381e-05,2.23725e-05,1.10294e-07,8.79865e-08,,4.142495194827887,3.261563210641022,9.012665468872111,6.22710480126826,-5.952
7,,GRB150902733,2015-09-02 17:35:39.002,14 19 48.0,-69 22 48,0.18,21.0,9.595,405.17999,1.745,211.541,3.49,408.67001,2.40948e-05,4.10334e-06,1.4207e-08,4.10831e-09,3.84,17.408,0.00036606,8.30101e-05,1.13528e-07,3.56229e-08,,15.19248966582001,7.990990356866334,20.229885897829575,8.670937684838778,0.34999999999999964
8,,GRB210520797,2021-05-20 19:07:01.998,08 13 48.0,-69 13 12,0.87,0.0,0.0,6.33,0.475,125.185,1.34,7.67,0.000332368,9.72459e-05,1.2449e-07,5.37976e-08,0.256,56.321,4.69537e-05,1.24653e-05,1.91521e-08,7.98694e-09,,0.1412702185529293,0.15384448550084345,0.1281832961595296,0.14846275670290124,-1.084
9,,GRB180703876,2018-07-03 21:01:39.999,00 26 14.4,-67 06 00,0.33,18.0,7.117,1610.12,81.95,53.9861,3.84,1613.95996,3.10009e-06,9.26452e-07,1.48076e-09,5.74929e-10,1.536,22.272,5.44033e-05,2.93517e-05,1.45953e-08,9.71274e-09,,17.548942127486622,9.85662767767903,31.681835648258083,16.89380775713175,-2.304
10,,GRB141221897,2014-12-21 21:31:47.997,06 36 28.8,-66 54 00,0.33,0.0,0.0,36.3,6.74,41.4874,22.17,58.47,2.0847e-05,1.10124e-05,7.15119e-08,8.2991e-08,-1.28,31.233,3.39071e-05,0.0,3.75639e-08,0.0,,1.6264738331654436,0.5252818062448347,0.0,0.0,-23.450000000000003
12,,GRB170127067,2017-01-27 01:35:47.000,22 35 55.2,-63 58 12,0.52,0.0,0.0,2224.23999,45.69,35.9158,664.76001,2889.0,1.21421e-06,3.86321e-07,4.02101e-10,1.50165e-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-664.76001
13,,GRB200803149,2020-08-03 03:34:25.997,20 45 09.6,-63 04 48,0.46,0.0,0.0,212.48,8.255,36.8221,26.0,238.48,7.12115e-06,3.01412e-06,7.43519e-09,6.40577e-09,2.304,120.578,1.2858e-05,0.0,1.42447e-08,0.0,,1.8056072404035863,1.9158488216172014,0.0,0.0,-23.696
