,time,n6,n6_bkg,n7,n7_bkg,n9,n9_bkg,b1,b1_bkg
0,-30.0,1006.5445446087709,1050.9961919830712,1033.9011265611305,1082.7119334220847,1087.5165132115717,1128.5084355303866,1587.7986406356013,1616.6332848238305
1,-29.0,1015.5856811441931,1050.9961919830716,1142.516666298868,1082.7119334220852,1113.6616513467186,1128.5084355303857,1631.3721395771884,1616.633284823829
2,-28.0,1027.5421392525107,1050.9961919830707,1077.1582279242741,1082.7119334220852,1148.7800477154715,1128.5084355303852,1619.2990733955085,1616.6332848238305
3,-27.0,993.3343356888688,1050.9961919830705,1062.013995719853,1082.7119334220852,1083.5072357435106,1128.5084355303861,1591.9922588623579,1616.6332848238299
4,-26.0,1032.6642738264723,1050.9961919830719,1082.1056431959726,1082.7119334220843,1056.4043763605966,1128.5084355303857,1545.5392125377352,1616.6332848238308
5,-25.0,1014.4509134067907,1050.9961919830705,1134.3463216488642,1082.7119334220852,1078.571314012606,1128.5084355303857,1634.3149931334676,1616.6332848238303
6,-24.0,1026.57876585984,1050.9961919830712,1072.081161257454,1082.7119334220852,1107.713899052679,1128.5084355303852,1616.3165651365537,1616.6332848238294
7,-23.0,1011.5430191501434,1050.9961919830712,1072.012354716754,1082.7119334220843,1048.3693146511116,1128.5084355303854,1584.905357361529,1616.6332848238303
8,-22.0,961.2512504285036,1050.9961919830707,1126.4763058799456,1082.7119334220852,1096.6626970283849,1128.5084355303861,1602.0493383014261,1616.6332848238303
9,-21.0,1023.4583469493724,1050.9961919830712,1059.961532521866,1082.7119334220847,1100.5576960857031,1128.5084355303857,1608.9951158014762,1616.6332848238296
10,-20.0,959.2504014417824,1050.9961919830716,1061.9969554081617,1082.7119334220847,1098.6543489069593,1128.5084355303857,1598.1368454866688,1616.6332848238303
11,-19.0,980.3410544379979,1050.9961919830703,1100.1971729846935,1082.7119334220856,1120.7660506129127,1128.5084355303861,1631.4245498774173,1616.6332848238294
12,-18.0,974.2446596959394,1050.9961919830712,1078.8741206574314,1082.7119334220847,1074.4842074877115,1128.5084355303861,1630.1423764745562,1616.6332848238294
13,-17.0,988.4473957518817,1050.9961919830712,1084.254933309796,1082.7119334220847,1122.6854636290004,1128.5084355303852,1629.357753955936,1616.6332848238294
14,-16.0,1012.4257721500716,1050.9961919830712,1081.1960154215863,1082.7119334220852,1111.5900047109767,1128.5084355303852,1593.012027391375,1616.6332848238294
