,time,n9,n9_bkg,na,na_bkg,nb,nb_bkg,b1,b1_bkg
0,-30.0,1363.9281129653207,-1944.0685583107488,1324.3438478208334,1150.2288244039678,901.9120535535206,-1495.8352019231738,3404.649663564156,3266.0741301588428
1,-29.95,1384.041400890581,-1934.7031980474492,1263.5885916001264,1150.624114223038,1043.171240571322,-1488.5705532477705,2979.0660225442407,3266.074130158842
2,-29.9,1162.6974581027819,-1925.3506183266722,1565.6362906463044,1151.0194040421088,1203.465982028224,-1481.3157305877928,3508.9134468015955,3266.074130158868
3,-29.85,1344.2478231210434,-1916.0108191483312,1142.6051397185422,1151.4146938611689,1002.8078620136239,-1474.070733943338,3283.509931106677,3266.0741301588223
4,-29.8,1143.1551080983352,-1906.6838005125346,1243.2822651800577,1151.8099836802578,761.6451535316174,-1466.8355633143813,3221.130616846467,3266.0741301588623
5,-29.75,941.9215199005838,-1897.3695624192653,1605.3941242574824,1152.2052734993263,1023.0692076228539,-1459.6102187009478,3241.3931950875312,3266.074130158852
6,-29.7,1122.8745588706931,-1888.0681048684728,1303.597930287575,1152.6005633183802,942.0725596311752,-1452.3947001029996,2978.5863790049484,3266.074130158863
7,-29.65,1363.7092892667863,-1878.7794278601518,1082.5114265094867,1152.9958531374534,821.3470090949039,-1445.1890075205445,3221.6494845360367,3266.074130158863
8,-29.6,1444.622792937379,-1869.5035313943847,1263.9942217406826,1153.3911429565305,1023.2334175996002,-1437.993140953555,3161.370867061289,3266.074130158817
9,-29.55,1525.3692999357522,-1860.24041547107,1686.2052352657538,1153.7864327755954,982.5546420693663,-1430.8071004021665,3464.389300676715,3266.0741301588428
10,-29.5,1303.807116780982,-1850.9900800903558,1464.9809351795898,1154.1817225946743,1002.4861656908992,-1423.6308858662142,3162.3897192119757,3266.0741301588737
11,-29.45,1243.082845456715,-1841.7525252520088,1142.788403705024,1154.5770124137275,1163.4437936291258,-1416.464497345753,3079.834131808805,3266.074130158844
12,-29.4,1142.6051397185422,-1832.5277509562757,1665.7969734676437,1154.972302232809,1223.7692091642084,-1409.3079348407841,3223.207091055554,3266.0741301588428
13,-29.35,1223.7692091642084,-1823.3157572029709,1403.9310068190734,1155.3675920518829,1324.131289623607,-1402.1611983513774,3282.4519714849102,3266.074130158817
14,-29.3,1484.3938056647467,-1814.1165439922001,1062.5927262520397,1155.762881870929,1123.2349165596759,-1395.024287877396,3464.9476228847207,3266.0741301588787
15,-29.25,1223.3765191929551,-1804.930111323909,1142.788403705024,1156.1581716900096,942.8284854563556,-1387.89720341899,3221.130616846467,3266.074130158852
16,-29.2,1283.4910957805046,-1795.7564591981406,1465.2161695636257,1156.5534615090896,762.2562785845996,-1380.779944976038,2836.4514182256685,3266.0741301588337
17,-29.15,1525.3692999357522,-1786.59558761491,1163.4437936291258,1156.9487513281476,821.4786615908519,-1373.6725125485827,2917.857286593913,3266.0741301588564
18,-29.1,1224.1621513144516,-1777.4474965740976,1465.2161695636257,1157.3440411472304,1203.6591237361408,-1366.5749061366707,3649.3406992216906,3266.074130158845
19,-29.05,1283.4910957805046,-1768.3121860758563,1122.6944667201124,1157.7393309662893,1042.502004811533,-1359.4871257402003,3121.8529707955245,3266.0741301588405
20,-29.0,1343.8164386858489,-1759.189656120114,1605.9097478721467,1158.1346207853614,1102.7790030877654,-1352.4091713592939,3039.8196239480985,3266.074130158874
