,time,n6,n6_bkg,n9,n9_bkg,na,na_bkg,b1,b1_bkg
0,-30.0,1122.6944667201124,1000.5383262039705,1203.0798845043141,1198.6232603141423,1182.9811124032394,-2195.500539231104,1849.1718925872062,1573.307552864711
1,-29.95,1042.3348300192283,1000.5383262039647,1243.4817488968936,1198.6232603141505,1343.8164386858489,-2173.785675517354,1808.245599935681,1573.3075528646962
2,-29.9,801.2820512820398,1000.5383262039772,1384.2635316775472,1198.6232603141434,1364.3659711075247,-2152.1586997987165,1525.6142604785393,1573.307552864711
3,-29.85,1303.807116780982,1000.5383262039744,1122.5144323283996,1198.6232603141448,1585.7722108474622,-2130.619440117803,1445.318773084932,1573.3075528647073
4,-29.8,1002.4861656908992,1000.538326203967,962.1552277100569,1198.623260314155,1203.272902294223,-2109.1677245173073,1566.3908747690355,1573.3075528646996
5,-29.75,801.2820512820398,1000.538326203974,1102.7790030877654,1198.6232603141407,1344.0320962888475,-2087.803381039639,1829.5870360689753,1573.3075528647105
6,-29.7,1182.9811124032394,1000.5383262039715,1243.681296638031,1198.62326031415,1404.832624227322,-2066.5262377272934,1749.1656278901194,1573.3075528646789
7,-29.65,962.0009620009483,1000.5383262039637,1002.1646756994966,1198.6232603141477,1163.070506136183,-2045.3361226232248,1405.0582095543757,1573.307552864707
8,-29.6,1203.272902294223,1000.538326203974,1404.1563026558415,1198.6232603141411,1363.9281129653207,-2024.2328637696894,1466.157863024683,1573.307552864709
9,-29.55,1062.7631842791106,1000.5383262039791,1444.1591784338689,1198.6232603141489,1082.685058946171,-2003.2162892093463,1728.156900570669,1573.3075528647066
10,-29.5,1303.807116780982,1000.5383262039612,1142.788403705024,1198.6232603141518,1464.7457763152406,-1982.2862269849916,1264.1971344864771,1573.3075528647025
11,-29.45,881.5515306940089,1000.5383262039719,1122.8745588706931,1198.6232603141466,1183.170898006641,-1961.4425051387352,1747.4792110231542,1573.307552864695
12,-29.4,1002.1646756994966,1000.5383262039787,1182.791387674896,1198.6232603141489,1504.755025881765,-1940.6849517136652,1545.750190709417,1573.3075528647094
13,-29.35,941.9215199005838,1000.5383262039628,1102.4253357386092,1198.6232603141461,1263.791374122349,-1920.0133947520696,1829.2928074618803,1573.3075528646918
14,-29.3,1082.685058946171,1000.5383262039726,1444.390948483369,1198.623260314148,1223.1802686985989,-1899.4276622965965,1647.512657719176,1573.3075528647157
15,-29.25,881.834215167536,1000.5383262039791,1243.4817488968936,1198.6232603141423,1303.3888109083432,-1878.9275823898374,1425.874603365847,1573.3075528647144
16,-29.2,961.8467457518299,1000.5383262039629,1384.041400890581,1198.6232603141527,1383.8193413821953,-1858.5129830743665,2032.4385237654155,1573.3075528646912
17,-29.15,1223.3765191929551,1000.538326203976,1404.1563026558415,1198.62326031414,1444.1591784338689,-1838.1836923927117,1425.4165830154384,1573.3075528647028
18,-29.1,1162.883952201443,1000.5383262039694,1484.632052002226,1198.6232603141495,1505.2382290370274,-1817.9395383876229,1646.983208805311,1573.307552864707
19,-29.05,1062.9336970037152,1000.5383262039745,1222.9840811580082,1198.6232603141584,1464.7457763152406,-1797.7803491015331,1364.804110468831,1573.3075528646991
20,-29.0,1082.3378497554563,1000.5383262039721,1444.390948483369,1198.6232603141377,1303.3888109083432,-1777.7059525770082,1365.0232856913246,1573.3075528646993
21,-28.95,861.7579862920235,1000.5383262039687,1062.2519741852577,1198.6232603141495,1022.4128944308422,-1757.7161768567603,1687.0179948585878,1573.3075528646982
22,-28.9,1223.5728326713831,1000.5383262039636,1122.6944667201124,1198.6232603141423,1243.4817488968936,-1737.8108499831935,1506.4475957096158,1573.3075528647098
23,-28.85,962.0009620009483,1000.5383262039824,1162.883952201443,1198.6232603141505,1163.4437936291258,-1717.9897999991097,1606.425702811222,1573.307552864694
24,-28.8,881.6928502725107,1000.5383262039647,1343.6008502787279,1198.6232603141432,1263.791374122349,-1698.2528549468643,1525.859299710868,1573.3075528647087
25,-28.75,1022.4128944308422,1000.5383262039683,1222.9840811580082,1198.6232603141434,1303.3888109083432,-1678.5998428692262,1607.2002571520184,1573.3075528647032
26,-28.7,680.9260594408298,1000.5383262039796,1163.070506136183,1198.6232603141614,1524.8796147672335,-1659.0305918086744,1647.2478907191407,1573.3075528647041
27,-28.65,1082.3378497554563,1000.5383262039722,1102.7790030877654,1198.6232603141384,1182.9811124032394,-1639.5449298078174,1446.247790454744,1573.3075528646925
28,-28.6,921.8436873747364,1000.5383262039595,1384.4857337774192,1198.623260314141,1424.5014245014042,-1620.1426849091908,1445.5509155155592,1573.3075528647162
29,-28.55,1042.502004811533,1000.5383262039827,1383.8193413821953,1198.623260314156,1082.8587470923082,-1600.8236851554534,1648.3074696469976,1573.3075528647105
30,-28.5,881.6928502725107,1000.538326203967,1243.2822651800577,1198.623260314144,1303.597930287575,-1581.58775858918,1445.5509155155592,1573.307552864688
31,-28.45,921.9915016435369,1000.5383262039677,1102.7790030877654,1198.6232603141436,1505.4799470070845,-1562.434733252901,1304.4350792694977,1573.3075528647053
32,-28.4,761.4009777991396,1000.5383262039733,1122.5144323283996,1198.6232603141568,1203.0798845043141,-1543.3644371891953,1425.645556403337,1573.3075528647025
33,-28.35,1002.3253949161913,1000.5383262039765,1162.883952201443,1198.6232603141452,1263.1832217187132,-1524.376698440745,1687.5602700096192,1573.307552864701
34,-28.3,901.6229212582521,1000.5383262039636,1062.7631842791106,1198.6232603141486,1283.4910957805046,-1505.4713450499312,1405.509597622661,1573.3075528646973
35,-28.25,1022.4128944308422,1000.5383262039753,1122.5144323283996,1198.6232603141425,1243.2822651800577,-1486.6482050595414,1908.7803897930207,1573.3075528647207
36,-28.2,1042.502004811533,1000.5383262039804,1102.602141052869,1198.6232603141464,1404.6071113251264,-1467.9071065121032,1283.90306531855,1573.3075528646896
37,-28.15,922.139363322896,1000.5383262039602,1202.8869286286917,1198.6232603141475,1706.6216921655782,-1449.2478774501187,1445.5509155155592,1573.3075528647084
38,-28.1,781.2187011738201,1000.5383262039708,1062.2519741852577,1198.6232603141436,1243.681296638031,-1430.6703459163205,1626.8326973287578,1573.3075528646953
39,-28.05,1122.8745588706931,1000.538326203979,1384.041400890581,1198.623260314147,1626.3100831224922,-1412.1743399530192,1486.779715502671,1573.3075528647098
40,-28.0,1263.3858741426845,1000.5383262039662,1102.4253357386092,1198.6232603141482,1363.7092892667863,-1393.7596876031823,1345.1114234089348,1573.307552864702
41,-27.95,1022.2489476848922,1000.538326203974,1464.5106929342166,1198.6232603141523,1444.1591784338689,-1375.4262169090246,1526.104417670661,1573.3075528646987
42,-27.9,942.3747844568178,1000.5383262039762,1102.4253357386092,1198.6232603141414,1404.6071113251264,-1357.173755913295,1586.0269022284456,1573.3075528647018
43,-27.85,781.3439115278168,1000.5383262039617,1183.3607445144041,1198.6232603141489,1102.4253357386092,-1339.0021326586568,1728.990751909907,1573.307552864704
44,-27.8,1102.4253357386092,1000.5383262039755,942.0725596311752,1198.623260314151,1142.788403705024,-1320.9111751875266,1646.1896731711,1573.307552864707
45,-27.75,981.9245721614225,1000.538326203967,1142.6051397185422,1198.6232603141386,1122.8745588706931,-1302.9007115425911,1345.5436397959402,1573.3075528647014
46,-27.7,902.0566892514806,1000.5383262039725,1323.9187996469361,1198.6232603141577,1203.0798845043141,-1284.9705697663535,1485.34725010034,1573.3075528646991
47,-27.65,1022.7409457345541,1000.5383262039704,1183.170898006641,1198.6232603141418,1183.170898006641,-1267.1205779015404,1506.4475957096158,1573.3075528647084
48,-27.6,861.4817486075929,1000.5383262039799,1283.6970474967725,1198.6232603141448,1102.9559218705976,-1249.3505639905252,1606.6838046272264,1573.307552864696
49,-27.55,941.9215199005838,1000.5383262039618,1162.6974581027819,1198.6232603141452,1263.3858741426845,-1231.6603560760118,1747.7600546425883,1573.3075528647028
50,-27.5,982.0820138693892,1000.5383262039779,1343.6008502787279,1198.623260314148,1606.1676839061768,-1214.049782200674,1526.8402442944173,1573.307552864712
51,-27.45,821.4786615908519,1000.5383262039663,982.2395060738345,1198.6232603141584,1223.3765191929551,-1196.5186704069404,1688.102893890651,1573.3075528647003
52,-27.4,1122.5144323283996,1000.5383262039677,1062.5927262520397,1198.6232603141339,1082.3378497554563,-1179.066848737345,1163.8173208122475,1573.3075528646975
53,-27.35,1062.2519741852577,1000.5383262039715,1404.1563026558415,1198.6232603141539,1343.8164386858489,-1161.6941452346648,1506.9318866787007,1573.307552864696
54,-27.3,1142.6051397185422,1000.5383262039796,1283.4910957805046,1198.6232603141493,1223.3765191929551,-1144.4003879413756,1647.512657719176,1573.3075528647178
55,-27.25,861.6198453091689,1000.5383262039677,1102.4253357386092,1198.6232603141443,1383.8193413821953,-1127.1854049000435,1405.7354004337499,1573.307552864704
56,-27.2,701.2060744480407,1000.5383262039696,1042.1677088343606,1198.6232603141466,1344.4636192157773,-1110.0490241533485,1364.804110468831,1573.3075528646907
57,-27.15,841.5484491464175,1000.5383262039799,1042.502004811533,1198.6232603141545,1243.4817488968936,-1092.9910737436353,2132.110386998119,1573.3075528647043
58,-27.1,640.8202499198884,1000.5383262039567,1022.2489476848922,1198.6232603141352,1264.1971344864771,-1076.011381713791,2192.717763025517,1573.3075528646941
59,-27.05,1625.5267910896819,1000.5383262039793,1102.4253357386092,1198.6232603141552,941.9215199005838,-1059.109776106204,1626.8326973287578,1573.3075528647225
60,-27.0,841.4135748056616,1000.5383262039761,1283.2852101379349,1198.6232603141452,1223.1802686985989,-1042.2860849635383,2050.333681756021,1573.307552864685
61,-26.95,1203.272902294223,1000.5383262039646,1042.1677088343606,1198.6232603141425,1504.755025881765,-1025.5401363282426,1566.8943350743045,1573.307552864713
62,-26.9,962.3095429029535,1000.5383262039711,1323.7063778579836,1198.623260314152,1324.556474271475,-1008.8717582431268,1607.2002571520184,1573.307552864703
63,-26.85,1122.6944667201124,1000.5383262039788,1344.2478231210434,1198.623260314144,1202.8869286286917,-992.2807787505668,1707.718889379973,1573.3075528646975
64,-26.8,1143.1551080983352,1000.5383262039629,1223.3765191929551,1198.6232603141448,1263.791374122349,-975.7670258932488,1647.512657719176,1573.3075528647078
65,-26.75,1002.3253949161913,1000.5383262039787,1122.5144323283996,1198.6232603141518,1182.9811124032394,-959.3303277137321,2090.7044065615655,1573.307552864697
66,-26.7,841.4135748056616,1000.5383262039705,1082.3378497554563,1198.6232603141489,1263.5885916001264,-942.970512254557,1365.2425313202502,1573.307552864706
67,-26.65,841.5484491464175,1000.5383262039728,1283.2852101379349,1198.6232603141352,1485.1087741831689,-926.6874075584493,1748.322012780812,1573.3075528647073
68,-26.6,982.2395060738345,1000.5383262039669,1142.6051397185422,1198.623260314154,1082.8587470923082,-910.480841667772,1566.8943350743045,1573.3075528646962
69,-26.55,921.9915016435369,1000.5383262039721,1182.9811124032394,1198.6232603141493,1082.685058946171,-894.3506426252277,1767.636188333576,1573.3075528647107
70,-26.5,982.0820138693892,1000.5383262039761,1182.9811124032394,1198.6232603141464,1283.6970474967725,-878.2966384734941,1263.9942217406826,1573.3075528646937
71,-26.45,861.7579862920235,1000.5383262039636,1565.1336383337123,1198.6232603141411,1182.9811124032394,-862.3186572548914,1809.4089264173447,1573.307552864701
72,-26.4,881.834215167536,1000.5383262039754,1222.9840811580082,1198.6232603141602,1424.2728184553457,-846.4165270122843,1304.2256912395978,1573.3075528646948
73,-26.35,1042.3348300192283,1000.5383262039782,1283.2852101379349,1198.6232603141443,1264.400112391103,-830.5900757881237,1486.3019201413783,1573.307552864706
74,-26.3,1343.8164386858489,1000.5383262039607,1082.5114265094867,1198.6232603141355,1403.9310068190734,-814.8391316249437,1505.4799470070845,1573.3075528647187
75,-26.25,1142.9717264888548,1000.5383262039745,1424.5014245014042,1198.623260314154,841.5484491464175,-799.1635225653499,1424.0442857715711,1573.307552864704
76,-26.2,801.5389547931915,1000.5383262039715,1223.1802686985989,1198.6232603141473,1303.3888109083432,-783.5630766520328,1465.9223261978184,1573.3075528646925
77,-26.15,841.683366733455,1000.5383262039641,1243.2822651800577,1198.623260314143,1183.5506519558508,-768.0376219274727,2071.850987649325,1573.3075528647053
78,-26.1,1082.5114265094867,1000.538326203981,1424.9588568217193,1198.6232603141534,1364.3659711075247,-752.5869864342935,1365.2425313202502,1573.3075528646903
79,-26.05,1042.502004811533,1000.5383262039693,1364.1470069009595,1198.6232603141477,1162.883952201443,-737.2109982149781,1688.102893890651,1573.307552864713
80,-26.0,781.4691620245951,1000.5383262039703,1304.0163704208778,1198.623260314142,1062.5927262520397,-721.9094853122433,1445.318773084932,1573.3075528647075
81,-25.95,1002.0040080160179,1000.538326203975,1162.883952201443,1198.6232603141539,1324.7691690084114,-706.6822757686098,1708.2680172032394,1573.3075528647062
82,-25.9,902.0566892514806,1000.5383262039693,1122.5144323283996,1198.6232603141425,1344.2478231210434,-691.5291976266598,1485.1087741831689,1573.3075528646884
83,-25.85,962.1552277100569,1000.5383262039636,1162.6974581027819,1198.6232603141464,1404.1563026558415,-676.4500789289986,1807.6644974692438,1573.307552864694
84,-25.8,1002.4861656908992,1000.5383262039747,1323.4940242239325,1198.623260314156,1243.2822651800577,-661.4447477181859,1465.6868650363201,1573.3075528647184
85,-25.75,1042.1677088343606,1000.5383262039805,1303.597930287575,1198.623260314143,1524.8796147672335,-646.5130320367465,1585.5176012523357,1573.3075528647005
86,-25.7,1364.3659711075247,1000.5383262039697,1283.2852101379349,1198.623260314139,1223.5728326713831,-631.6547599273986,1445.7831325301,1573.3075528647003
87,-25.65,1102.7790030877654,1000.5383262039663,1002.0040080160179,1198.6232603141573,1102.7790030877654,-616.8697594326184,1586.7914674807953,1573.307552864706
88,-25.6,921.8436873747364,1000.5383262039715,1102.7790030877654,1198.6232603141389,1283.6970474967725,-602.1578585950001,1585.5176012523357,1573.3075528647075
89,-25.55,1042.502004811533,1000.5383262039734,1002.1646756994966,1198.623260314151,1102.7790030877654,-587.5188854571716,1727.8791288274285,1573.307552864711
90,-25.5,881.6928502725107,1000.5383262039725,1263.5885916001264,1198.623260314147,1544.757854190886,-572.952668061657,1929.5706705257803,1573.3075528646968
91,-25.45,1022.0850535091441,1000.5383262039676,1344.2478231210434,1198.6232603141523,1485.1087741831689,-558.459034451116,1445.5509155155592,1573.3075528646993
92,-25.4,1022.7409457345541,1000.5383262039699,1222.9840811580082,1198.623260314142,1323.4940242239325,-544.0378126680199,1526.8402442944173,1573.307552864697
93,-25.35,881.9756254008855,1000.5383262039777,1182.9811124032394,1198.6232603141486,1223.3765191929551,-529.6888307550322,1203.852327447816,1573.307552864711
94,-25.3,1042.1677088343606,1000.5383262039704,1182.791387674896,1198.6232603141502,1283.2852101379349,-515.4119167547096,1728.156900570669,1573.307552864709
95,-25.25,961.8467457518299,1000.5383262039708,1444.390948483369,1198.6232603141452,1203.272902294223,-501.2068987096613,1525.859299710868,1573.30755286469
96,-25.2,1183.5506519558508,1000.5383262039685,1183.170898006641,1198.6232603141443,1203.465982028224,-487.0736046624516,1445.0867052022916,1573.3075528647096
97,-25.15,942.0725596311752,1000.5383262039674,1082.3378497554563,1198.623260314143,1082.8587470923082,-473.01186265560017,1606.94198939416,1573.3075528646893
98,-25.1,1102.9559218705976,1000.5383262039836,1283.4910957805046,1198.6232603141555,1364.3659711075247,-459.0215007317798,1586.7914674807953,1573.3075528647064
99,-25.05,1283.6970474967725,1000.5383262039637,1122.8745588706931,1198.623260314146,1303.3888109083432,-445.10234693354414,1666.3320618349492,1573.3075528647119
100,-25.0,1022.0850535091441,1000.5383262039692,1182.791387674896,1198.623260314144,1082.5114265094867,-431.25422930345724,1526.349614395865,1573.3075528647037
101,-24.95,1082.5114265094867,1000.5383262039754,901.7674642298778,1198.6232603141455,1102.9559218705976,-417.47697588412643,1485.5858026178219,1573.3075528647032
102,-24.9,1062.7631842791106,1000.5383262039743,1283.6970474967725,1198.6232603141466,1505.4799470070845,-403.7704147181173,1667.40327052109,1573.3075528646928
103,-24.85,941.7705285937428,1000.5383262039637,1404.3816708129164,1198.6232603141486,1243.681296638031,-390.13437384795117,1505.963615919018,1573.3075528647119
104,-24.8,1002.1646756994966,1000.5383262039745,1363.9281129653207,1198.6232603141418,1364.5850056188601,-376.56868131636605,1767.92028286722,1573.3075528647028
105,-24.75,1042.502004811533,1000.5383262039716,1122.5144323283996,1198.6232603141511,1303.597930287575,-363.07316516580437,1606.6838046272264,1573.3075528647048
106,-24.7,1182.791387674896,1000.5383262039704,1022.0850535091441,1198.623260314149,1162.6974581027819,-349.6476534388978,1606.6838046272264,1573.30755286469
107,-24.65,962.1552277100569,1000.5383262039749,1263.1832217187132,1198.623260314146,1787.5075316328325,-336.2919741782211,1627.0941304085584,1573.3075528647157
108,-24.6,1223.1802686985989,1000.538326203967,1203.465982028224,1198.623260314147,1303.807116780982,-323.005955426356,1444.8547118317342,1573.3075528646948
109,-24.55,982.2395060738345,1000.5383262039682,1022.2489476848922,1198.6232603141518,1464.2756850001797,-309.78942522586385,1384.7080072245437,1573.3075528647123
110,-24.5,922.139363322896,1000.5383262039749,1343.6008502787279,1198.6232603141407,1464.2756850001797,-296.6422116194073,1748.8843324086108,1573.3075528647032
111,-24.45,1102.602141052869,1000.538326203976,881.5515306940089,1198.623260314153,1062.9336970037152,-283.56414264948336,1445.0867052022916,1573.3075528646946
112,-24.4,941.9215199005838,1000.5383262039669,1364.1470069009595,1198.6232603141414,1142.788403705024,-270.5550463586536,1223.7692091642084,1573.307552864703
113,-24.35,921.8436873747364,1000.5383262039709,962.0009620009483,1198.6232603141482,1706.8958592714323,-257.61475078961433,1788.0821312331484,1573.3075528647037
114,-24.3,1022.2489476848922,1000.5383262039713,1283.2852101379349,1198.6232603141448,1163.070506136183,-244.74308398484155,1565.6362906463044,1573.307552864718
115,-24.25,1002.3253949161913,1000.5383262039708,1162.6974581027819,1198.623260314157,982.0820138693892,-231.9398739869639,1889.5231969124118,1573.3075528646925
116,-24.2,1042.502004811533,1000.5383262039708,1263.5885916001264,1198.623260314139,1323.7063778579836,-219.20494883857359,1525.3692999357522,1573.3075528647066
117,-24.15,1203.272902294223,1000.5383262039725,1162.6974581027819,1198.6232603141498,1203.272902294223,-206.53813658217416,1384.7080072245437,1573.307552864694
118,-24.1,821.4786615908519,1000.5383262039711,1002.0040080160179,1198.623260314145,1343.6008502787279,-193.93926526048693,1686.4760681014857,1573.3075528647005
119,-24.05,1022.5768937722917,1000.5383262039757,801.4104824490989,1198.6232603141411,962.3095429029535,-181.40816291593833,1706.8958592714323,1573.3075528647073
120,-24.0,1142.788403705024,1000.5383262039711,1183.170898006641,1198.623260314152,1102.602141052869,-168.94465759122826,1767.636188333576,1573.3075528647082
121,-23.95,901.7674642298778,1000.5383262039663,1022.2489476848922,1198.6232603141505,1464.9809351795898,-156.54857732890227,1666.3320618349492,1573.3075528646964
122,-23.9,1123.0547088079416,1000.538326203971,1383.8193413821953,1198.623260314146,1182.9811124032394,-144.2197501714658,1605.9097478721467,1573.3075528646991
123,-23.85,1022.2489476848922,1000.5383262039733,1183.3607445144041,1198.6232603141505,1565.1336383337123,-131.95800416169448,1446.0154241645039,1573.3075528647064
124,-23.8,942.2236478088154,1000.5383262039766,1203.272902294223,1198.623260314149,1303.3888109083432,-119.76316734192257,1505.963615919018,1573.3075528647005
125,-23.75,1122.6944667201124,1000.5383262039713,1062.2519741852577,1198.6232603141364,1485.1087741831689,-107.63506775491742,1707.170114480795,1573.307552864713
126,-23.7,781.3439115278168,1000.5383262039685,1142.9717264888548,1198.6232603141532,1283.90306531855,-95.57353344316779,1506.205566935754,1573.3075528646998
127,-23.65,1022.4128944308422,1000.538326203975,1163.070506136183,1198.623260314149,1203.272902294223,-83.57839244929914,1970.5622134641396,1573.307552864698
128,-23.6,1143.1551080983352,1000.5383262039702,1182.9811124032394,1198.6232603141475,1002.4861656908992,-71.64947281592693,1525.6142604785393,1573.307552864707
129,-23.55,962.3095429029535,1000.5383262039674,1002.1646756994966,1198.6232603141414,1444.390948483369,-59.78660258547542,1707.170114480795,1573.3075528647078
130,-23.5,1102.602141052869,1000.5383262039768,1222.9840811580082,1198.6232603141498,1464.5106929342166,-47.989609800732,1868.4453730863236,1573.307552864695
