,time,n6,n6_bkg,n9,n9_bkg,b1,b1_bkg
0,-30.0,1082.5114265094867,1000.5383262039675,1223.2783860746629,1198.6232603141466,1828.7046340580905,1573.307552864705
1,-29.9,1052.3783751277738,1000.5383262039757,1253.3338680890993,1198.623260314144,1485.4665167817357,1573.3075528647105
2,-29.8,901.8397530963036,1000.5383262039703,1032.4572482508222,1198.623260314148,1697.9122711836917,1573.307552864707
3,-29.7,1072.4666733486868,1000.5383262039675,1122.8745588706931,1198.6232603141489,1576.9702083207553,1573.307552864695
4,-29.6,1133.0138167525456,1000.5383262039762,1424.1585429453803,1198.6232603141452,1597.1231693352124,1573.307552864709
5,-29.5,1092.556582402807,1000.5383262039666,1132.832080200485,1198.6232603141495,1505.721742621942,1573.3075528647007
6,-29.4,972.0412867020606,1000.5383262039705,1142.6051397185422,1198.6232603141477,1687.4246685415587,1573.3075528647014
7,-29.3,982.2395060738345,1000.538326203976,1343.9242588357813,1198.6232603141455,1536.6691440853085,1573.307552864715
8,-29.2,1092.556582402807,1000.5383262039692,1394.0986500310717,1198.6232603141466,1728.573725679345,1573.3075528646984
9,-29.1,1112.915839499473,1000.5383262039717,1353.7634624255238,1198.6232603141539,1505.842669557863,1573.3075528647037
10,-29.0,972.0412867020606,1000.5383262039705,1253.2333420224,1198.623260314144,1525.9818488474605,1573.3075528647003
11,-28.9,1092.7318295739192,1000.5383262039728,1142.788403705024,1198.6232603141466,1556.443676822021,1573.307552864703
12,-28.8,952.0373599502801,1000.5383262039666,1283.2852101379349,1198.6232603141439,1566.5167095115457,1573.3075528647075
13,-28.7,881.5515306940089,1000.5383262039757,1132.9229411882495,1198.6232603141502,1546.7438029809753,1573.3075528646996
14,-28.6,982.1607536580337,1000.5383262039709,1384.1524573720965,1198.623260314148,1546.8680943388424,1573.307552864715
15,-28.5,901.8397530963036,1000.5383262039675,1173.0264081329663,1198.6232603141443,1374.9774182540602,1573.3075528646984
16,-28.4,881.834215167536,1000.5383262039751,1142.6967643638825,1198.6232603141511,1556.568719998371,1573.307552864702
17,-28.3,962.0009620009483,1000.5383262039688,1092.6441989614714,1198.623260314146,1657.0590716451848,1573.3075528647098
18,-28.2,982.3182711198289,1000.5383262039697,1152.7435296004326,1198.623260314147,1364.6945492493985,1573.3075528646991
19,-28.1,951.9610397418546,1000.5383262039751,1223.0821670609764,1198.6232603141455,1556.8188666358428,1573.3075528647037
20,-28.0,1142.788403705024,1000.5383262039703,1283.388144701995,1198.62326031415,1435.5988354582669,1573.3075528647018
21,-27.9,861.8270733955865,1000.5383262039688,1142.8800577455024,1198.6232603141452,1657.458563535888,1573.3075528647037
22,-27.8,1042.1677088343606,1000.538326203971,1042.3348300192283,1198.6232603141445,1495.8938216573085,1573.3075528647048
23,-27.7,962.3867190632632,1000.5383262039709,1253.5349686114666,1198.62326031415,1495.8938216573085,1573.3075528647048
24,-27.6,901.6951869514559,1000.5383262039705,1223.1802686985989,1198.6232603141452,1677.2120116500714,1573.3075528647014
25,-27.5,901.7674642298778,1000.5383262039722,1162.883952201443,1198.6232603141532,1607.4586079408227,1573.307552864707
26,-27.4,1092.381391433309,1000.5383262039697,1233.3299909756167,1198.623260314144,1335.2609280565239,1573.307552864698
27,-27.3,1002.0843354176545,1000.5383262039734,1192.9346191631244,1198.6232603141475,1526.594889924452,1573.3075528647098
28,-27.2,771.3730440183417,1000.5383262039745,1042.3348300192283,1198.6232603141505,1748.0409885472927,1573.3075528646996
29,-27.1,1132.6504019405247,1000.538326203968,1062.3371417117507,1198.6232603141455,1909.5477386934401,1573.3075528647082
30,-27.0,1022.2489476848922,1000.5383262039703,1162.6974581027819,1198.6232603141436,1808.5362912948863,1573.3075528647014
31,-26.9,1042.502004811533,1000.5383262039749,1333.9752462337576,1198.6232603141482,1657.458563535888,1573.3075528647014
32,-26.8,1072.7247207907935,1000.5383262039703,1172.932330827051,1198.6232603141482,1869.0461835282501,1573.3075528647037
33,-26.7,841.481006571554,1000.5383262039722,1182.791387674896,1198.623260314142,1556.6937832680303,1573.3075528647094
34,-26.6,952.113692397108,1000.5383262039692,1162.790697674402,1198.6232603141518,1667.26929412235,1573.3075528647048
35,-26.5,921.9175885842421,1000.5383262039692,1373.9845552100896,1198.6232603141436,1536.4222449840113,1573.3075528646984
36,-26.4,962.0780886715168,1000.5383262039771,1253.1328320801827,1198.6232603141523,1395.218115752896,1573.3075528647014
37,-26.3,1243.3819990373638,1000.5383262039675,1253.4344102841608,1198.6232603141448,1464.7457763152406,1573.307552864712
38,-26.2,821.610356298333,1000.538326203968,1233.2310653913078,1198.6232603141452,1768.6309188841294,1573.3075528646996
39,-26.1,1062.5075177418557,1000.5383262039749,1394.5462206793952,1198.6232603141507,1526.594889924452,1573.307552864703
40,-26.0,891.7299561148501,1000.538326203972,1233.428932432144,1198.623260314148,1576.7168136260243,1573.3075528647087
41,-25.9,932.1065608274569,1000.5383262039663,1142.6051397185422,1198.623260314145,1646.3218760038312,1573.3075528646912
42,-25.8,1022.3309144850114,1000.5383262039777,1313.5465757545187,1198.6232603141493,1525.6142604785393,1573.3075528647105
43,-25.7,1233.5278897647095,1000.5383262039677,1142.6051397185422,1198.6232603141482,1516.2773883879042,1573.3075528647041
44,-25.6,982.1607536580337,1000.5383262039722,1052.4627628650894,1198.6232603141452,1656.6597722845604,1573.3075528647094
45,-25.5,951.8847317688889,1000.53832620397,1303.9117352055982,1198.6232603141498,1687.4246685415587,1573.3075528646984
46,-25.4,952.3427631974522,1000.538326203974,1202.983398829079,1198.6232603141455,1365.2425313202502,1573.307552864706
47,-25.3,1002.0040080160179,1000.53832620397,1313.5465757545187,1198.6232603141482,1626.963403366385,1573.3075528646991
48,-25.2,1062.7631842791106,1000.5383262039675,1132.7412337857454,1198.6232603141436,1525.9818488474605,1573.307552864701
49,-25.1,1193.3174224343506,1000.5383262039737,1203.1763856581204,1198.623260314151,1626.5713482468943,1573.307552864711
50,-25.0,1052.294000921995,1000.538326203972,1042.2512627274764,1198.6232603141448,1505.963615919018,1573.307552864703
51,-24.9,1002.2450288646426,1000.5383262039686,1344.0320962888475,1198.623260314148,1586.663988752739,1573.307552864703
52,-24.8,1022.3309144850114,1000.5383262039732,1243.1825473211245,1198.6232603141464,1687.289088863868,1573.3075528647048
53,-24.7,1072.4666733486868,1000.5383262039722,1142.6051397185422,1198.623260314147,1616.8879426356045,1573.307552864703
54,-24.6,1102.690564978532,1000.5383262039671,1112.8265795119446,1198.6232603141498,1414.7819630350384,1573.307552864705
55,-24.5,1012.3689433273717,1000.5383262039754,1112.4696826955683,1198.6232603141466,1596.8665260620442,1573.3075528647014
56,-24.4,931.8824024529416,1000.5383262039688,1162.9772216875035,1198.6232603141452,1505.721742621942,1573.3075528647025
57,-24.3,1012.2877703610015,1000.5383262039705,1222.9840811580082,1198.6232603141505,1727.462638598722,1573.3075528647087
58,-24.2,1122.8745588706931,1000.5383262039709,1213.1298750776832,1198.6232603141445,1455.0344190900307,1573.3075528647007
59,-24.1,921.9915016435369,1000.5383262039732,901.6951869514559,1198.623260314143,1696.6849386582896,1573.3075528647037
60,-24.0,1022.2489476848922,1000.5383262039677,1102.690564978532,1198.6232603141516,1716.9709018615335,1573.3075528647048
61,-23.9,1072.6386911802883,1000.538326203972,1283.5940633774387,1198.6232603141475,1525.9818488474605,1573.3075528647025
62,-23.8,1032.4572482508222,1000.5383262039732,1132.7412337857454,1198.623260314143,1606.5547433528568,1573.3075528647064
63,-23.7,901.8397530963036,1000.5383262039715,1153.0209147967512,1198.6232603141511,1738.2392540642397,1573.3075528647007
64,-23.6,1052.7160072988158,1000.538326203968,1092.556582402807,1198.6232603141445,1616.3684918578972,1573.3075528647084
65,-23.5,1032.3744612608853,1000.5383262039732,1213.1298750776832,1198.6232603141477,1788.0821312331484,1573.3075528646984
66,-23.4,901.6229212582521,1000.5383262039711,1273.4382833650677,1198.6232603141489,1666.8674940755675,1573.3075528647064
67,-23.3,942.0725596311752,1000.5383262039717,1072.4666733486868,1198.6232603141477,1616.4983232594802,1573.3075528647003
68,-23.2,1162.790697674402,1000.5383262039692,1213.1298750776832,1198.6232603141452,1900.07037297675,1573.3075528647041
69,-23.1,1022.4128944308422,1000.5383262039726,1122.6944667201124,1198.623260314148,1465.0985429293735,1573.3075528647098
70,-23.0,972.1192198993667,1000.5383262039683,1072.4666733486868,1198.623260314145,1525.7367702561414,1573.3075528646998
71,-22.9,901.8397530963036,1000.5383262039734,1182.9811124032394,1198.6232603141489,1456.4374535446466,1573.3075528647007
72,-22.8,871.5164386031571,1000.538326203972,1223.1802686985989,1198.6232603141461,1546.6195315952054,1573.307552864703
73,-22.7,1072.3806851209533,1000.5383262039694,1313.7573460095687,1198.6232603141457,1768.3465959327775,1573.3075528647064
74,-22.6,921.9175885842421,1000.5383262039692,1122.6944667201124,1198.6232603141482,1798.7418855638145,1573.3075528647053
75,-22.5,1042.5856123185351,1000.5383262039692,1192.9346191631244,1198.6232603141493,1739.0779870925985,1573.3075528647014
76,-22.4,1022.1669940273234,1000.5383262039734,1303.7025151429877,1198.6232603141484,1616.4983232594802,1573.3075528647098
77,-22.3,1102.513731307365,1000.5383262039686,1203.0798845043141,1198.6232603141432,1758.1225260704205,1573.3075528646968
78,-22.2,1012.2877703610015,1000.5383262039734,1152.7435296004326,1198.6232603141445,1334.8320921736497,1573.3075528647037
79,-22.1,1012.2877703610015,1000.5383262039671,1062.5075177418557,1198.6232603141493,1858.8107630166726,1573.3075528647041
80,-22.0,861.7579862920235,1000.5383262039754,1102.690564978532,1198.6232603141477,1536.6691440853085,1573.3075528647032
81,-21.9,1052.5471641371971,1000.5383262039715,1173.1205005313968,1198.623260314146,1616.6281755196073,1573.3075528647028
82,-21.8,911.8053746417778,1000.5383262039709,1202.983398829079,1198.6232603141514,1444.9706992052454,1573.3075528647053
83,-21.7,971.9633659993048,1000.5383262039697,1223.1802686985989,1198.623260314147,1627.0941304085584,1573.3075528647007
84,-21.6,1122.6044423061342,1000.5383262039705,1072.6386911802883,1198.6232603141452,1646.983208805311,1573.3075528647037
85,-21.5,992.282249173084,1000.538326203972,1283.4910957805046,1198.6232603141466,1697.2302006547652,1573.3075528647037
