,time,n6,n6_bkg,n9,n9_bkg,b1,b1_bkg
0,-30.0,1049.4409997654545,1000.5383262039715,1242.307021290676,1198.6232603141475,1615.0026514968906,1573.3075528647037
1,-29.0,956.0382735993138,1000.538326203971,1198.0454314868396,1198.623260314148,1525.2443503704164,1573.3075528647037
2,-28.0,981.0936538573316,1000.5383262039718,1163.8981062846487,1198.6232603141466,1588.8447431535053,1573.3075528647037
3,-27.0,994.2270686337396,1000.5383262039715,1252.3286896571087,1198.623260314148,1625.0005021633197,1573.3075528647043
4,-26.0,1022.3882990666197,1000.5383262039709,1204.0848654252193,1198.6232603141477,1575.36763598465,1573.3075528647037
5,-25.0,1025.3357147582192,1000.5383262039712,1149.784778734094,1198.6232603141475,1579.3077551741658,1573.3075528647032
6,-24.0,1014.3044998235993,1000.5383262039713,1165.9358264109026,1198.623260314147,1664.018831430976,1573.3075528647034
7,-23.0,993.151165424309,1000.5383262039713,1182.9906002374,1198.6232603141484,1640.2597898297868,1573.307552864705
8,-22.0,1041.3972965767196,1000.5383262039716,1191.0968518147183,1198.6232603141475,1603.8162189304544,1573.3075528647032
9,-21.0,975.0456457648146,1000.5383262039715,1253.3539752377362,1198.6232603141473,1537.2195904630134,1573.3075528647032
10,-20.0,1034.3251629663484,1000.5383262039711,1158.874007538696,1198.6232603141482,1605.8828137396883,1573.3075528647034
11,-19.0,1030.324411873186,1000.5383262039717,1190.0632227353208,1198.6232603141475,1636.1762691163442,1573.3075528647032
12,-18.0,993.151165424309,1000.5383262039713,1146.8533711875145,1198.6232603141482,1594.7233536590265,1573.3075528647041
13,-17.0,970.0642968236407,1000.5383262039715,1238.2864121378138,1198.6232603141475,1645.2456618949855,1573.3075528647034
14,-16.0,982.1450046902435,1000.5383262039712,1127.699713113193,1198.6232603141473,1650.57614450327,1573.3075528647034
15,-15.0,970.0409661928697,1000.5383262039713,1150.8356590639335,1198.6232603141477,1609.9259012270788,1573.3075528647037
16,-14.0,961.0894083738046,1000.5383262039715,1221.150568466644,1198.6232603141475,1555.3864166266692,1573.3075528647041
17,-13.0,1008.2382890015836,1000.5383262039711,1210.1827807132759,1198.6232603141477,1641.3466676845562,1573.3075528647032
18,-12.0,1018.2319644661097,1000.5383262039713,1189.0010386214806,1198.6232603141477,1549.168790122267,1573.3075528647037
