,time,n1,n1_bkg,n2,n2_bkg,n9,n9_bkg,na,na_bkg,b0,b0_bkg,b1,b1_bkg
0,-30.0,1273.8776836690888,1238.0992574603908,1238.4254848912092,1238.696721559023,1129.8902592832465,1151.4749238684508,1109.9279900377196,1118.7559619834453,3009.222915987327,2897.6973921835397,3079.7637673192667,3050.3340777169797
1,-29.0,1186.1956109759692,1238.0992574603897,1231.3690256541897,1238.6967215590232,1064.4567662164275,1151.4749238684517,1094.846601163024,1118.7559619834449,2990.058633731404,2897.6973921835397,3017.808897603872,3050.334077716978
2,-28.0,1216.5059702061342,1238.0992574603913,1197.3093630795518,1238.696721559023,1087.5862801742544,1151.4749238684517,1088.87026201066,1118.7559619834449,2858.246660348543,2897.697392183542,3090.5832846759417,3050.3340777169797
3,-27.0,1261.6284434032277,1238.0992574603913,1244.517005056289,1238.6967215590228,1171.0822885835519,1151.4749238684508,1171.1950200145998,1118.755961983445,2918.139152974892,2897.6973921835393,3013.4669967993236,3050.3340777169815
4,-26.0,1232.5719936375615,1238.0992574603908,1296.9036800770318,1238.6967215590241,1089.6827990512643,1151.4749238684517,1049.6682567085531,1118.7559619834456,2977.909726764957,2897.69739218354,3037.123983514769,3050.334077716978
5,-25.0,1182.3080980583672,1238.0992574603904,1209.3038180308602,1238.6967215590228,1127.9077461696252,1151.4749238684522,1078.7962398537009,1118.7559619834449,2885.7299246570933,2897.6973921835424,3049.3759299640196,3050.3340777169806
6,-24.0,1279.829249113347,1238.0992574603913,1266.53362882442,1238.6967215590232,1170.0303786807833,1151.4749238684517,1110.8972199496286,1118.755961983445,2841.0920095293286,2897.697392183542,3083.0014055747756,3050.3340777169797
7,-23.0,1281.0918072323,1238.0992574603902,1241.590680247275,1238.696721559023,1139.8930485572382,1151.4749238684512,1067.7098475931916,1118.755961983445,2942.3366419526487,2897.69739218354,3002.6432924190053,3050.3340777169788
8,-22.0,1194.3417682676127,1238.0992574603908,1193.326995663911,1238.6967215590225,1150.9556541197796,1151.4749238684508,1113.8402927465036,1118.755961983445,3010.64748549031,2897.69739218354,2998.9308947263517,3050.3340777169788
9,-21.0,1210.5323333487115,1238.0992574603915,1219.4632757029965,1238.6967215590234,1171.091682040587,1151.4749238684517,1085.6642199958699,1118.755961983445,2977.7179349390267,2897.697392183541,3011.75712675149,3050.33407771698
10,-20.0,1228.5110846800155,1238.0992574603904,1238.4950329830783,1238.696721559023,1106.7003488511968,1151.4749238684512,1030.4318190930596,1118.7559619834453,2875.5176535453984,2897.6973921835393,3003.6559243690713,3050.3340777169788
11,-19.0,1253.7763744398128,1238.0992574603904,1196.275402050815,1238.696721559024,1110.7724881303734,1151.474923868451,1081.6804040412142,1118.7559619834449,2884.5786221232192,2897.69739218354,2978.485250508829,3050.3340777169806
12,-18.0,1179.3777378411771,1238.0992574603902,1189.1917907664172,1238.696721559023,1205.234850338308,1151.4749238684508,1134.073338748007,1118.7559619834456,2889.8476993914414,2897.69739218354,3079.8877990531787,3050.334077716978
13,-17.0,1188.4345759244216,1238.0992574603906,1279.6752272526696,1238.6967215590234,1151.923582051246,1151.4749238684517,1051.6860060594759,1118.7559619834453,2833.22601416613,2897.6973921835415,3112.2817828309985,3050.3340777169788
14,-16.0,1236.682841501993,1238.0992574603906,1193.2791310521313,1238.6967215590234,1161.9630056644444,1151.4749238684512,1064.6958097903891,1118.7559619834453,2935.1568804625413,2897.6973921835406,2998.7135428305683,3050.3340777169788
15,-15.0,1214.3784007107772,1238.0992574603902,1186.138522530616,1238.6967215590234,1175.0551433727692,1151.4749238684503,1175.1682536117373,1118.755961983445,2898.9094626603155,2897.6973921835415,3027.264508620707,3050.3340777169788
16,-14.0,1236.7324585599338,1238.0992574603913,1217.4038611959038,1238.696721559023,1141.8843999943858,1151.474923868451,1112.8890599997594,1118.755961983445,2785.316383373804,2897.697392183541,3020.10179756459,3050.3340777169806
17,-13.0,1187.4102422156434,1238.0992574603904,1210.435215140569,1238.6967215590244,1110.7546715855322,1151.4749238684517,1029.4769214730643,1118.7559619834453,2880.7859725948,2897.6973921835415,3038.904826614324,3050.334077716979
18,-12.0,1243.6812966380485,1238.099257460391,1217.384328433044,1238.6967215590232,1122.8115200461957,1151.4749238684512,1090.853673209115,1118.7559619834449,3066.0519799488657,2897.697392183541,2916.7958323436224,3050.3340777169797
19,-11.0,1208.4343704809069,1238.099257460391,1205.321867065633,1238.696721559024,1154.0165993908076,1151.4749238684508,1115.9035811180693,1118.7559619834453,2915.0793219547636,2897.6973921835415,2966.1434900850086,3050.334077716979
20,-10.0,1230.5711173826444,1238.0992574603904,1246.6576936732372,1238.696721559024,1142.9625589528057,1151.4749238684512,1114.970280828126,1118.7559619834453,2906.9123941728935,2897.6973921835415,3051.1805078791126,3050.33407771698
21,-9.0,1203.5142616440005,1238.0992574603908,1175.1965345740414,1238.6967215590234,1155.989388558813,1151.4749238684512,1076.795360756524,1118.7559619834456,2869.654112097625,2897.6973921835406,3062.8642311425433,3050.334077716979
22,-8.0,1203.3115132845592,1238.0992574603906,1204.3843199390287,1238.6967215590234,1131.8726928945664,1151.474923868451,1059.7149898038774,1118.7559619834456,2859.5116493405617,2897.6973921835415,3007.8518220253677,3050.334077716979
23,-7.0,1271.754218452873,1238.0992574603908,1232.5621044819527,1238.696721559024,1180.1936038921322,1151.4749238684512,1078.6924162710125,1118.7559619834453,2914.020301544753,2897.6973921835424,2961.8313235551636,3050.33407771698
24,-6.0,1236.5439349174735,1238.099257460391,1273.6528363346076,1238.6967215590237,1148.927467186391,1151.474923868451,1086.6601440325917,1118.7559619834453,2896.0831431458023,2897.6973921835415,3032.231045535815,3050.334077716979
25,-5.0,1221.6698963686915,1238.0992574603906,1207.3516080639856,1238.6967215590234,1128.8401618472076,1151.4749238684512,1125.9341844847672,1118.7559619834453,2870.4350223256056,2897.6973921835415,3016.9905795802993,3050.334077716979
26,-4.0,1184.2709563815258,1238.0992574603908,1263.6899747262005,1238.6967215590234,1090.6262279569203,1151.474923868451,1144.068391425804,1118.7559619834456,2984.996517839531,2897.6973921835415,3041.273126662331,3050.334077716979
27,-3.0,1235.657546337158,1238.0992574603908,1242.5163211889649,1238.6967215590234,1122.739484341794,1151.474923868451,1138.0111775758658,1118.7559619834456,2873.447573667308,2897.6973921835415,3109.4928143326674,3050.33407771698
28,-2.0,1214.6025110477676,1238.0992574603908,1204.3553339604136,1238.6967215590234,1126.8757870084455,1151.4749238684512,1134.9235630985418,1118.7559619834456,2872.273854963752,2897.6973921835415,3159.5226684172585,3050.33407771698
29,-1.0,1264.5939760800195,1238.0992574603908,1245.6022817989626,1238.6967215590234,1220.2727715733597,1151.4749238684512,1131.954400986575,1118.7559619834456,2948.5760289825903,2897.6973921835415,3067.0151880686462,3050.33407771698
30,0.0,1420.57994975802,1238.0992574603908,1357.2590789898702,1238.6967215590234,1380.1957952174612,1151.4749238684512,1333.1728309609075,1118.7559619834456,3168.080407028367,2897.6973921835415,3439.6875868989614,3050.33407771698
31,1.0,1233.6169649412077,1238.0992574603908,1355.2690976576214,1238.6967215590234,1099.6854318245155,1151.4749238684512,1124.88420309674,1118.7559619834456,2861.374264534252,2897.6973921835415,3057.306630640716,3050.33407771698
32,2.0,1233.5971693458125,1238.0992574603908,1266.5437895230855,1238.6967215590234,1174.1066862919286,1151.474923868451,1128.9940923328668,1118.7559619834456,2916.0914312394093,2897.6973921835415,3185.059723645972,3050.33407771698
33,3.0,1178.202353998167,1238.0992574603908,1249.5236567119277,1238.6967215590234,1182.0805017876587,1151.474923868451,1108.825286830845,1118.7559619834456,2838.056720892564,2897.6973921835415,3037.0506081147737,3050.334077716979
34,4.0,1233.5971693458125,1238.0992574603906,1220.439197659003,1238.6967215590234,1168.0298694814348,1151.4749238684512,1096.8034295659706,1118.7559619834453,2907.9244462869124,2897.6973921835415,3066.496462354377,3050.334077716979
35,5.0,1308.0287284837298,1238.099257460391,1203.2535977282573,1238.6967215590237,1114.8540263073469,1151.474923868451,1134.914460334138,1118.7559619834453,2977.669990842583,2897.6973921835415,2981.4029705322237,3050.334077716979
36,6.0,1246.767732086365,1238.0992574603908,1182.1942889687937,1238.696721559024,1165.0244033510994,1151.4749238684512,1087.7869100635828,1118.7559619834453,2937.39396098368,2897.6973921835424,3008.5495550084447,3050.33407771698
37,7.0,1278.9057782467655,1238.0992574603906,1246.497672468948,1238.6967215590234,1124.8210511964005,1151.474923868451,1129.9718259021226,1118.7559619834456,2803.952698012182,2897.6973921835415,3020.701012000266,3050.334077716979
38,8.0,1263.8826474930988,1238.0992574603908,1246.497672468948,1238.6967215590234,1181.0755206557878,1151.4749238684512,1127.9982192668112,1118.7559619834456,2854.56700535093,2897.6973921835406,2960.7951274691745,3050.334077716979
39,9.0,1183.3037841653897,1238.0992574603904,1211.4113343174379,1238.696721559024,1145.8945295817234,1151.4749238684512,1122.0587321037146,1118.7559619834453,2867.537861561309,2897.6973921835415,3002.4015186132788,3050.33407771698
40,10.0,1251.695003650777,1238.099257460391,1221.4248753504828,1238.696721559024,1139.9661920316664,1151.4749238684508,1099.8353755982923,1118.7559619834453,2917.1974778669337,2897.6973921835415,3057.5774965517935,3050.334077716979
41,11.0,1240.575338124475,1238.099257460391,1234.4639057194488,1238.6967215590232,1134.7961376832516,1151.4749238684512,1059.6469982015074,1118.7559619834449,2784.3721079950105,2897.697392183541,3177.863702271629,3050.3340777169797
