,time,n9,n9_bkg,na,na_bkg,nb,nb_bkg,b1,b1_bkg
0,-30.0,1286.6618395954888,-1855.8261267319915,1328.9469725083497,1153.984077685131,1015.7078772006167,-1427.3811223899345,3221.1032102285885,3266.0741301588505
1,-29.0,1309.8509618277737,-1673.3755276167533,1398.503180240374,1161.889874066524,1038.6922904167602,-1285.8220347711572,3156.2287948743246,3266.07413015885
2,-28.0,1250.4788321109324,-1496.0371455024124,1348.0874009998315,1169.795670447915,1062.0054754956527,-1148.1933533526849,3188.5738909461415,3266.0741301588496
3,-27.0,1317.7688188218303,-1323.810980388962,1363.2068563587231,1177.7014668293075,1023.6964163606941,-1014.4950781345201,3204.0309165824206,3266.0741301588496
4,-26.0,1310.8460222292206,-1156.6970322764025,1288.6520398810228,1185.6072632107,1035.661650441635,-884.727209116661,3254.6523805687584,3266.07413015885
5,-25.0,1240.386254474716,-994.6953011647428,1317.969724811131,1193.5130595920923,1012.7425067081657,-758.8897462991108,3179.2868004713036,3266.07413015885
6,-24.0,1299.7536886528294,-837.8057870539715,1387.4258885845848,1201.4188559734855,975.5148773538181,-636.9826896818643,3199.7712435410535,3266.0741301588505
7,-23.0,1267.5999839544306,-686.028489944096,1349.1364523629447,1209.324652354876,1077.9903452176338,-519.0060392649277,3232.9257021117214,3266.074130158848
8,-22.0,1290.7664565201258,-539.3634098351131,1284.6922053983149,1217.2304487362699,1012.6531512562915,-404.9597950482955,3212.248029854774,3266.0741301588496
9,-21.0,1300.7487579203264,-397.8105467270243,1352.1755179995828,1225.136245117662,1030.8120552868224,-294.8439570319706,3264.5515219133777,3266.0741301588487
10,-20.0,1281.7889681899694,-261.3699006198292,1398.3685032040094,1233.0420414990544,990.4404452571135,-188.65852521595372,3144.3501374331713,3266.07413015885
11,-19.0,1275.766061413292,-130.0414715135287,1353.246487477705,1240.9478378804451,1048.8150195123712,-86.40349960024116,3193.562936950288,3266.0741301588487
12,-18.0,1284.681898320587,-3.8252594081198197,1340.0415653611292,1248.8536342618372,1026.6611055856781,11.92111981516237,3326.7597179052796,3266.0741301588505
13,-17.0,1217.3257339050285,117.27873569639502,1339.0036208262707,1256.7594306432306,1035.844428801489,106.31533303026052,3130.493971609068,3266.0741301588478
14,-16.0,1214.2128070875538,233.27051380001492,1338.1482596047747,1264.6652270246232,1020.698727435339,196.77914004505158,3193.038350696507,3266.0741301588478
15,-15.0,1254.560442535917,344.15007490274303,1346.1299266148544,1272.5710234060164,973.5995106935517,283.3125408595357,3224.0135646192202,3266.074130158849
16,-14.0,1277.6540906994003,449.9174190045761,1306.8132811544085,1280.4768197874087,1049.8787675807064,365.91553547371285,3218.1148854931084,3266.0741301588487
17,-13.0,1226.3036620656046,550.5725461055166,1335.0987531722387,1288.3826161687996,1045.7167721741084,444.5881238875838,3238.644603064628,3266.074130158849
18,-12.0,1234.454002298431,646.1154562055627,1364.2126887829618,1296.2884125501923,1022.6445588291322,519.3303061011479,3190.6517628627867,3266.0741301588487
19,-11.0,1290.7250324436325,736.5461493047155,1372.3696248856359,1304.1942089315849,998.7165089042195,590.1420821144056,3237.4745483143984,3266.074130158849
20,-10.0,1280.6704013703275,821.8646254029752,1417.641357805455,1312.100005312977,1091.0549538708383,657.0234519273562,3169.4253151302805,3266.074130158848
21,-9.0,1297.7218663125846,902.0708845003411,1302.885203677366,1320.00580169437,1009.5987070720033,719.9744155400001,3226.3521678186476,3266.0741301588487
22,-8.0,1334.841674338747,977.1649265968132,1382.384924982043,1327.9115980757613,1050.8330458917242,778.9949729523368,3256.2430629835767,3266.0741301588487
23,-7.0,1249.5437059500744,1047.146751692392,1331.985300017653,1335.8173944571545,1026.8340620111508,834.0851241643675,3226.0662934471784,3266.074130158848
24,-6.0,1230.393425066333,1112.0163597870767,1311.9358074222669,1343.7231908385459,1000.6537337017771,885.2448691760915,3179.4037460181944,3266.074130158849
25,-5.0,1285.6151498012412,1171.7737508808673,1339.132563089695,1351.6289872199386,1016.525048219778,932.4742079875086,3288.022735191813,3266.074130158849
26,-4.0,1239.3412640478732,1226.418924973766,1374.315350199627,1359.534783601332,960.3855978249974,975.7731405986184,3201.093950445978,3266.074130158848
27,-3.0,1274.5764615511123,1275.951882065769,1349.0931486128916,1367.4405799827234,1053.9574044769624,1015.1416670094218,3301.360426377044,3266.074130158848
28,-2.0,1284.6509780797026,1320.3726221568813,1369.3408103688694,1375.3463763641157,983.5513321556116,1050.579787219919,3251.4283527774587,3266.074130158848
29,-1.0,1316.8478293573824,1359.681145247099,1379.278521975167,1383.252172745509,1064.8922473437858,1082.0875012301094,3394.3989395776844,3266.074130158848
