,time,n6,n6_bkg,n7,n7_bkg,n9,n9_bkg,b1,b1_bkg
0,-30.0,891.9444388767386,1138.4573356778492,1153.0209147967512,1267.5733819292736,1233.132155675398,1149.5908140325514,1878.6794992866778,1679.0311855037642
1,-29.9,1092.4689798945462,1138.457335677849,1293.751880453296,1267.5733819292789,1142.6967643638825,1149.5908140325548,1736.982670334721,1679.0311855037528
2,-29.8,1102.690564978532,1138.4573356778487,1435.1377932999935,1267.573381929264,1052.3783751277738,1149.5908140325548,1665.9307133394648,1679.0311855037648
3,-29.7,1363.8186923385285,1138.4573356778508,1313.5465757545187,1267.573381929284,961.9238476953772,1149.590814032556,1616.238681309833,1679.0311855037676
4,-29.6,962.0780886715168,1138.4573356778487,1243.3819990373638,1267.5733819292714,1112.8265795119446,1149.5908140325482,1394.4343010774064,1679.0311855037567
5,-29.5,1293.751880453296,1138.4573356778574,1415.236374585948,1267.5733819292766,1243.1825473211245,1149.5908140325553,1716.5572486899712,1679.0311855037614
6,-29.4,1132.7412337857454,1138.457335677846,1122.8745588706931,1267.57338192928,1202.983398829079,1149.5908140325516,1747.0581147837013,1679.0311855037653
7,-29.3,1072.5526753673591,1138.4573356778521,1314.284567690653,1267.5733819292693,1243.5815147624983,1149.5908140325557,1826.795679929311,1679.0311855037535
8,-29.2,1213.6165774006367,1138.4573356778478,952.113692397108,1267.5733819292725,1233.2310653913078,1149.5908140325532,1585.5176012523357,1679.031185503763
9,-29.1,1273.2340143965491,1138.4573356778462,1193.4131616422799,1267.573381929282,1072.2947106808417,1149.5908140325557,1928.7953065980596,1679.0311855037562
10,-29.0,1414.2143587891717,1138.4573356778521,1122.784505573807,1267.573381929273,1313.5465757545187,1149.5908140325569,1525.1244180446083,1679.0311855037626
11,-28.9,1283.6970474967725,1138.457335677848,1334.6177775101662,1267.573381929276,1192.9346191631244,1149.590814032551,1575.5775445075342,1679.0311855037692
12,-28.8,1183.265813645645,1138.4573356778526,1223.3765191929551,1267.573381929276,901.6951869514559,1149.5908140325546,1868.4453730863236,1679.0311855037553
13,-28.7,1273.5404424299372,1138.4573356778506,1374.315350199607,1267.5733819292732,1394.3223994382388,1149.590814032558,1656.2606653148666,1679.0311855037623
14,-28.6,1143.1551080983352,1138.4573356778496,1354.632844327581,1267.5733819292795,1263.3858741426845,1149.5908140325498,1555.4440541896417,1679.031185503759
15,-28.5,1183.170898006641,1138.457335677846,1394.3223994382388,1267.5733819292707,1364.2564802182617,1149.5908140325546,1585.899546312259,1679.0311855037637
16,-28.4,1112.8265795119446,1138.457335677849,1273.7448097406193,1267.5733819292786,1193.030296954247,1149.5908140325544,1746.7774966871211,1679.0311855037578
17,-28.3,1082.5114265094867,1138.4573356778515,1414.7819630350384,1267.5733819292732,1032.208927103988,1149.5908140325537,1847.983287803284,1679.031185503763
18,-28.2,1293.5443114132538,1138.4573356778524,1334.1893545733412,1267.5733819292761,1253.1328320801827,1149.5908140325578,1575.7040486561127,1679.0311855037598
19,-28.1,1102.690564978532,1138.4573356778535,1333.654212542347,1267.5733819292777,1052.2096402444986,1149.5908140325475,1615.7196475523122,1679.0311855037608
20,-28.0,1072.3806851209533,1138.457335677848,1364.2564802182617,1267.5733819292664,1102.602141052869,1149.5908140325541,1757.4162967723544,1679.0311855037633
21,-27.9,1414.5548666706595,1138.457335677848,1273.642617887139,1267.5733819292802,1052.294000921995,1149.5908140325562,1868.4453730863236,1679.0311855037585
22,-27.8,1303.597930287575,1138.4573356778499,1313.8627565041033,1267.573381929272,1273.2340143965491,1149.5908140325573,1847.3895582329053,1679.0311855037608
23,-27.7,1152.9284382330957,1138.4573356778483,1223.4746680572653,1267.5733819292782,1042.2512627274764,1149.590814032554,1666.3320618349492,1679.0311855037598
24,-27.6,841.5484491464175,1138.457335677852,1243.3819990373638,1267.5733819292764,1212.935303434294,1149.590814032552,1494.9332798233959,1679.03118550376
25,-27.5,1072.5526753673591,1138.457335677847,1103.044402551025,1267.5733819292757,1233.6268629771353,1149.5908140325528,1907.8603847852883,1679.0311855037637
26,-27.4,1233.3299909756167,1138.4573356778526,1052.294000921995,1267.5733819292716,1142.6967643638825,1149.5908140325585,1666.0644746878402,1679.0311855037578
27,-27.3,1334.510645983405,1138.4573356778503,1414.8955385634092,1267.5733819292773,1162.6974581027819,1149.5908140325516,1686.3406408094195,1679.0311855037578
28,-27.2,1112.915839499473,1138.4573356778526,1243.681296638031,1267.5733819292782,1102.690564978532,1149.590814032556,1716.9709018615335,1679.0311855037637
29,-27.1,1172.8382686100197,1138.457335677851,1314.284567690653,1267.5733819292745,1283.6970474967725,1149.590814032551,1727.7402764384196,1679.0311855037517
30,-27.0,1072.7247207907935,1138.457335677843,1173.2146080259745,1267.5733819292748,1303.7025151429877,1149.590814032556,1485.7051076132136,1679.0311855037658
31,-26.9,1283.2852101379349,1138.45733567785,1384.3746238112237,1267.573381929273,1162.6974581027819,1149.590814032556,1707.3072751375644,1679.0311855037621
32,-26.8,1122.784505573807,1138.4573356778512,1173.1205005313968,1267.5733819292739,1283.4910957805046,1149.590814032554,1786.9333012086643,1679.03118550376
33,-26.7,1162.883952201443,1138.4573356778517,1364.5850056188601,1267.5733819292782,1253.7361336783438,1149.590814032551,1827.0891057302072,1679.0311855037648
34,-26.6,921.9915016435369,1138.4573356778496,1303.9117352055982,1267.5733819292766,1545.1298310390275,1149.5908140325585,1757.1339638933823,1679.0311855037596
35,-26.5,1052.4627628650894,1138.4573356778487,1334.2964345191326,1267.5733819292748,1092.6441989614714,1149.5908140325512,1787.2203702959703,1679.0311855037608
36,-26.4,1253.2333420224,1138.45733567785,1233.2310653913078,1267.5733819292736,1052.3783751277738,1149.5908140325537,1646.8508997429071,1679.031185503758
37,-26.3,1022.1669940273234,1138.45733567785,1364.3659711075247,1267.573381929275,1414.3278432001725,1149.5908140325537,1354.415394185024,1679.0311855037596
38,-26.2,992.0436098362486,1138.45733567785,1192.9346191631244,1267.5733819292775,952.0373599502801,1149.5908140325537,1837.6076958608378,1679.0311855037676
39,-26.1,801.5389547931915,1138.4573356778506,1122.9646266142456,1267.5733819292739,1263.3858741426845,1149.590814032555,1968.8203150112224,1679.0311855037573
40,-26.0,1354.1980138428937,1138.457335677849,1203.272902294223,1267.5733819292723,1142.8800577455024,1149.5908140325546,1525.0020065815659,1679.0311855037637
41,-25.9,1082.7718960538825,1138.4573356778521,1093.1701935613123,1267.57338192928,1042.2512627274764,1149.5908140325544,1716.9709018615335,1679.0311855037528
42,-25.8,1354.3066952910062,1138.457335677848,1224.260426283449,1267.573381929273,1323.4940242239325,1149.590814032552,1737.1222010241743,1679.0311855037678
43,-25.7,1143.0634099386193,1138.4573356778515,1344.2478231210434,1267.573381929277,1012.0443295456678,1149.590814032559,1797.441407426721,1679.0311855037587
44,-25.6,1213.227184310248,1138.4573356778506,1163.8173208122475,1267.5733819292689,1032.3744612608853,1149.5908140325523,1646.3218760038312,1679.0311855037621
45,-25.5,1142.8800577455024,1138.457335677849,1092.8194742435328,1267.5733819292793,1142.6967643638825,1149.590814032549,1787.7947852637246,1679.031185503762
46,-25.4,1253.2333420224,1138.4573356778503,1203.852327447816,1267.5733819292766,1424.1585429453803,1149.590814032558,1596.2252785864646,1679.0311855037519
47,-25.3,1143.246820971543,1138.457335677847,1484.632052002226,1267.5733819292716,1223.0821670609764,1149.590814032552,1505.117399157113,1679.0311855037683
48,-25.2,1313.6519524277305,1138.4573356778512,1122.9646266142456,1267.5733819292775,1253.3338680890993,1149.5908140325555,1828.263752159736,1679.0311855037532
49,-25.1,1162.883952201443,1138.4573356778512,1183.265813645645,1267.573381929273,1213.1298750776832,1149.5908140325544,1606.6838046272264,1679.0311855037676
50,-25.0,992.0436098362486,1138.457335677849,1525.2468491610925,1267.5733819292786,1173.0264081329663,1149.5908140325557,1545.2538631346358,1679.0311855037558
51,-24.9,1133.0138167525456,1138.457335677854,1253.5349686114666,1267.5733819292766,1092.6441989614714,1149.5908140325523,1505.963615919018,1679.0311855037653
52,-24.8,1012.2066104106808,1138.4573356778483,1323.7063778579836,1267.5733819292716,1313.7573460095687,1149.5908140325528,1878.377563935124,1679.0311855037603
53,-24.7,1062.3371417117507,1138.4573356778476,1143.1551080983352,1267.573381929274,1042.2512627274764,1149.5908140325562,1575.8305731205235,1679.03118550376
54,-24.6,1022.4128944308422,1138.4573356778499,1042.5856123185351,1267.5733819292775,1112.6481024838959,1149.5908140325582,1505.3590783187935,1679.0311855037596
