,time,n6,n6_bkg,n7,n7_bkg,n9,n9_bkg,b1,b1_bkg
0,-30.0,1139.8564803397314,1138.4573356778512,1243.621425591322,1267.5733819292745,1149.803220250972,1149.5908140325537,1709.6436753223027,1679.0311855037598
1,-29.0,1207.2450747609576,1138.4573356778506,1316.021762506219,1267.5733819292755,1196.0163532428785,1149.5908140325532,1655.2535479039811,1679.03118550376
2,-28.0,1171.054109116576,1138.4573356778506,1254.6510345104252,1267.5733819292748,1160.8557050343845,1149.5908140325532,1733.9183341532716,1679.0311855037603
3,-27.0,1068.4831548518757,1138.4573356778506,1264.675145974201,1267.573381929275,1232.2951572504878,1149.5908140325528,1715.866899331123,1679.0311855037603
4,-26.0,1216.3303123953385,1138.4573356778506,1211.6154605342342,1267.573381929275,1180.9144969785432,1149.5908140325541,1674.6584419652538,1679.0311855037592
5,-25.0,1118.7566163025695,1138.457335677851,1240.555431867733,1267.5733819292752,1210.1245415663243,1149.5908140325532,1639.3640110910555,1679.03118550376
6,-24.0,1152.9561796446087,1138.45733567785,1208.5313285419998,1267.5733819292745,1160.827776463465,1149.5908140325528,1656.3138684665946,1679.0311855037608
7,-23.0,1183.1234458971685,1138.4573356778506,1161.09780895429,1267.5733819292745,1086.503303611521,1149.5908140325532,1631.1232366303102,1679.0311855037596
8,-22.0,1109.7499604018758,1138.4573356778506,1304.1105564740062,1267.5733819292743,1157.7763476817408,1149.5908140325532,1702.6608090851412,1679.03118550376
9,-21.0,1094.7061135126032,1138.4573356778506,1280.927323172848,1267.573381929275,1141.7928252505628,1149.5908140325532,1641.2070450443578,1679.0311855037598
10,-20.0,1099.6501568780761,1138.4573356778506,1266.777530596238,1267.573381929275,1170.8662806550435,1149.5908140325532,1674.4163635049508,1679.0311855037596
11,-19.0,1084.6160940187733,1138.457335677851,1266.6962195687015,1267.5733819292748,1157.9156315602688,1149.5908140325537,1743.9934135884898,1679.0311855037596
12,-18.0,1153.9610640904561,1138.4573356778506,1322.310732989546,1267.573381929275,1161.8418652022847,1149.5908140325532,1716.6813237118868,1679.0311855037598
13,-17.0,1136.8876947446513,1138.457335677851,1240.545478978922,1267.573381929275,1085.47270682615,1149.5908140325532,1767.0682730923695,1679.0311855037596
14,-16.0,1246.4576735865292,1138.457335677851,1250.7296758935145,1267.5733819292745,1197.011681390378,1149.5908140325532,1709.6162147510868,1679.0311855037592
15,-15.0,1152.9746746606245,1138.4573356778512,1292.9434776067005,1267.573381929275,1111.6256598084676,1149.5908140325532,1698.3859311009396,1679.0311855037594
16,-14.0,1146.8533711875145,1138.4573356778506,1227.5845468768805,1267.5733819292745,1118.6399903772904,1149.5908140325532,1689.7692154772017,1679.0311855037598
17,-13.0,1121.7617774961957,1138.4573356778508,1187.2673597740984,1267.573381929275,1128.7134270786971,1149.5908140325537,1700.591492625416,1679.0311855037592
18,-12.0,1159.0320277846847,1138.4573356778506,1264.776622996267,1267.5733819292745,1168.9598062293728,1149.5908140325528,1675.4235739826495,1679.0311855037598
19,-11.0,1107.6339535415218,1138.4573356778506,1257.7279055119373,1267.573381929275,1134.7233360064154,1149.5908140325528,1611.9901554175317,1679.0311855037598
20,-10.0,1132.9320280886936,1138.457335677851,1254.7315716942187,1267.5733819292745,1220.116176715331,1149.5908140325532,1756.3944205103487,1679.0311855037596
21,-9.0,1120.8020050125313,1138.4573356778506,1238.5248416994768,1267.5733819292745,1094.4954496251453,1149.5908140325537,1701.5031450202675,1679.031185503759
22,-8.0,1155.8688665267193,1138.457335677851,1254.5906384071213,1267.5733819292745,1158.836832566122,1149.5908140325537,1654.326143171488,1679.0311855037592
23,-7.0,1167.0623716632442,1138.457335677851,1286.8270235680916,1267.5733819292745,1142.7975684475596,1149.5908140325532,1627.160429385654,1679.0311855037594
24,-6.0,1179.1412322426945,1138.457335677851,1271.6725904411942,1267.5733819292745,1118.7117572996945,1149.5908140325532,1645.0372868427128,1679.0311855037598
25,-5.0,1155.0308008213551,1138.4573356778508,1191.3644131026017,1267.5733819292745,1197.0308821937144,1149.5908140325532,1651.4240395137083,1679.0311855037596
26,-4.0,1136.8238704943078,1138.457335677851,1267.8339298037265,1267.5733819292745,1152.808240874771,1149.5908140325532,1651.3842515163624,1679.0311855037594
27,-3.0,1095.6844268457721,1138.4573356778508,1268.9515150177654,1267.5733819292748,1126.7221607403487,1149.5908140325532,1646.202892498936,1679.0311855037594
28,-2.0,1111.7593867980327,1138.4573356778508,1227.5845468768805,1267.5733819292745,1140.6966067784242,1149.5908140325532,1625.250714246994,1679.0311855037594
29,-1.0,1262.4414152981026,1138.4573356778508,1446.8091937600584,1267.5733819292745,1234.1470750413555,1149.5908140325532,1672.375093857786,1679.0311855037594
30,0.0,4221.754595508497,1138.4573356778508,4507.305570080778,1267.5733819292745,4308.805459098126,1149.5908140325532,2839.41126990707,1679.0311855037594
31,1.0,2595.1435322507664,1138.4573356778508,2729.074247316695,1267.5733819292745,2623.212565680859,1149.5908140325532,1936.442891004781,1679.0311855037594
32,2.0,6112.89519189105,1138.4573356778508,6430.913785625397,1267.5733819292748,6465.560909190377,1149.5908140325532,4308.300315477788,1679.0311855037594
33,3.0,3408.1570169360425,1138.457335677851,3798.4789954595676,1267.5733819292745,3623.4730944278904,1149.5908140325532,2437.1606676050674,1679.0311855037594
34,4.0,1713.4391041534086,1138.4573356778508,1959.6813885512822,1267.5733819292745,1825.978891322635,1149.5908140325532,1776.2649235372676,1679.0311855037596
35,5.0,1350.0339012970755,1138.457335677851,1556.55065965232,1267.5733819292745,1364.9008867342866,1149.5908140325532,1742.006349537841,1679.0311855037598
