,Unnamed: 0,Unnamed: 0.1,SOURCE_NUMBER,NAME,RA,DEC,LII,BII,SEMI_MAJOR_AXIS,SEMI_MINOR_AXIS,POSITION_ANGLE,LIKELIHOOD,TIME_BIN,NUM_FLARES,PRED_NUMBER,PLAW_PHOTON_INDEX,PLAW_PHOTON_INDEX_ERROR,PHOTON_FLUX,PHOTON_FLUX_ERROR,FLUX,FLUX_ERROR,FERMI_NAME,GAMMA_NAME,FAVA_NAME,LMC_FLAG,CENA_FLAG,SOURCE_TYPE,ASSOC_NAME,ASSOC_PROB_BAY,ASSOC_RA,ASSOC_DEC,ASSOC_REDSHIFT,FLUX_1420_MHZ,LOG_FREQ_PEAK,LOW_CONFIDENCE_FLAG,CLASS,IMG_NUMBER,filename,filenumber,T0,T0_min,T0_max,norm,norm_min,norm_max,distance,dist_min,dist_max,std_error
0,3,129,4,b'1FLT J0112+0711',18.21,7.196,132.281,-55.287,27.48,17.46,1.7,25.272,34.0,1,60.11,2.289,0.26,4.1e-08,1.7e-08,2.6e-11,8.5e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',4,./correct_unassociated/apjsac072af17_4_hr.csv,4.0,,,,,,,,,,
1,4,140,5,b'1FLT J0115+5230',18.858,52.515,126.637,-10.184,13.92,11.22,138.1,26.211,59.0,1,74.72,2.058,0.225,3.7e-08,1.8e-08,4e-11,1.5e-11,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',5,./correct_unassociated/apjsac072af17_5_hr.csv,5.0,73784.4896130312,73784.48911288824,2.2240839510263518e+23,1000.0000000000061,1000.000000000001,13294755585210.018,0.05656854249492363,0.056568542494923775,4.906082086795296e-07,6.976605543519012
2,5,119,6,b'1FLT J0115-2237',18.957,-22.63,175.133,-82.872,18.12,15.18,4.5,30.266,19.5,1,52.08,2.12,0.223,3.7e-08,1.8e-08,3.4e-11,1.1e-11,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'N',b'                       UNIDENTIFIED\n',6,./correct_unassociated/apjsac072af17_6_hr.csv,6.0,84769.60352425426,84769.59594684164,6.133178994252128e+24,1000.000000011428,1000.000000000001,60283486556043.66,0.05656854249460057,0.056568542494923775,2.3039646323627916e-07,6.520091623876085
3,12,139,13,b'1FLT J0202+3910',30.599,39.172,137.656,-21.662,35.1,30.96,133.6,25.94,33.5,1,108.74,3.013,0.285,7.6e-08,2.1e-08,2.4e-11,5.9e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',13,./correct_unassociated/apjsac072af17_13_hr.csv,13.0,105776.35062841389,105730.05948198959,9.561403363195466e+24,1785.2146886906344,1784.3485748706762,99973868704009.6,0.04233794392635121,0.04234821799223276,1.789088153233118e-07,7.1409435502214755
4,14,132,15,b'1FLT J0230+1423',37.638,14.393,156.053,-42.016,40.32,38.46,79.1,27.686,85.5,1,148.63,3.388,0.352,1.4e-07,3.4e-08,3.8e-11,8.7e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',15,./correct_unassociated/apjsac072af17_15_hr.csv,15.0,66346.62078073854,66346.6178409587,5.890161028770711e+24,1000.000000000045,1000.000000000001,99999999824117.17,0.05656854249492253,0.056568542494923775,1.7888543835729756e-07,7.543664532344081
5,15,110,16,b'1FLT J0240-4657',40.158,-46.951,262.983,-60.819,37.14,25.38,73.0,34.83,21.5,2,110.63,2.842,0.264,9.9e-08,2.6e-08,3.5e-11,7.5e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'N',b'                       UNIDENTIFIED\n',16,./correct_unassociated/apjsac072af17_16_hr.csv,16.0,12112892719577.096,23155489672.89591,9.999999942555743e+24,45821094.12999752,1660390.4313397305,94829658320820.78,0.0002642665904866002,0.0013882570198502733,1.8369735212220265e-07,6.992791398384932
6,18,108,19,b'1FLT J0259-5406',44.842,-54.103,270.786,-54.292,27.18,26.4,86.1,27.536,64.5,1,73.98,2.922,0.3,5.5e-08,1.6e-08,1.8e-11,4.4e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',19,./correct_unassociated/apjsac072af17_19_hr.csv,19.0,78422.98694307939,78422.9643043867,7.636244714175024e+24,1000.0000000000645,1000.000000000001,76890235634760.55,0.05656854249492198,0.056568542494923775,2.0400433366622299e-07,6.611020018854766
7,22,131,23,b'1FLT J0343+1200',55.757,12.004,175.381,-32.88,27.54,20.1,29.4,28.563,116.0,1,84.42,2.496,0.233,1.9e-07,6.3e-08,9e-11,2.3e-11,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',23,./correct_unassociated/apjsac072af17_23_hr.csv,23.0,,,,,,,,,,
8,24,123,25,b'1FLT J0357-1509',59.404,-15.155,207.223,-45.239,55.38,40.32,148.0,27.946,50.0,1,102.76,3.782,0.564,9e-08,2.2e-08,2.2e-11,5.5e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',25,./correct_unassociated/apjsac072af17_25_hr.csv,25.0,431619997683022.7,67568315000.80835,8.668078747561625e+24,345468919.75472105,3323295.7511809967,99748061837194.42,9.624329832500471e-05,0.000981274454480691,1.791112052278998e-07,7.420372603216811
9,25,125,26,b'1FLT J0402-1227',60.511,-12.463,204.431,-43.142,32.7,28.26,4.4,25.86,72.0,1,87.99,2.966,0.307,9e-08,2.8e-08,2.9e-11,7.6e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',26,./correct_unassociated/apjsac072af17_26_hr.csv,26.0,301909.48337417643,301495.4751616043,6.817848907599601e+24,4870.112077919157,4865.772537011675,98341710108740.12,0.025633358483807503,0.025644786496137852,1.8038736350584477e-07,7.387102488092259
